quiz_id,created_at,published_at,question,option_1,option_2,option_3,option_4,correct_option_id,correct_answer,explanation,key,level,category,message_id,status,audio_text,audio_file_id
sm_001,2026-02-10T08:00:00Z,,Finde das passende Synonym zu „freundlich“ (Thema: Sozial).,leise,unglücklich,unterstützen,nett,3,nett,„nett“ passt hier als Synonym zu „freundlich“ im Thema Sozial.,freundlich__nett,A1,Sozial,,ready,,
sm_002,2026-02-10T08:01:00Z,,Welches Wort bedeutet fast dasselbe wie „nett“ (Thema: Sozial)?,freundlich,winzig,früh,leicht,0,freundlich,„freundlich“ passt hier als Synonym zu „nett“ im Thema Sozial.,nett__freundlich,A1,Sozial,,ready,,
sm_003,2026-02-10T08:02:00Z,,Wähle das beste Synonym für „schön“ (Thema: Beschreibung).,verspätet,sehen,hübsch,stark,2,hübsch,„hübsch“ passt hier als Synonym zu „schön“ im Thema Beschreibung.,schoen__huebsch,A1,Beschreibung,,ready,,
sm_004,2026-02-10T08:03:00Z,,Synonym gesucht: „hübsch“ (Thema: Beschreibung).,schwach,froh,schön,einkaufen,2,schön,„schön“ passt hier als Synonym zu „hübsch“ im Thema Beschreibung.,huebsch__schoen,A1,Beschreibung,,ready,,
sm_005,2026-02-10T08:04:00Z,,Finde das passende Synonym zu „schnell“ (Thema: Tempo).,dreckig,erwidern,hübsch,rasch,3,rasch,„rasch“ passt hier als Synonym zu „schnell“ im Thema Tempo.,schnell__rasch,A1,Tempo,,ready,,
sm_006,2026-02-10T08:05:00Z,,Welches Wort bedeutet fast dasselbe wie „rasch“ (Thema: Tempo)?,schnell,müde,fragen,nett,0,schnell,„schnell“ passt hier als Synonym zu „rasch“ im Thema Tempo.,rasch__schnell,A1,Tempo,,ready,,
sm_007,2026-02-10T08:06:00Z,,Wähle das beste Synonym für „langsam“ (Thema: Tempo).,erschöpft,helfen,gemächlich,billig,2,gemächlich,„gemächlich“ passt hier als Synonym zu „langsam“ im Thema Tempo.,langsam__gemaechlich,A1,Tempo,,ready,,
sm_008,2026-02-10T08:07:00Z,,Synonym gesucht: „gemächlich“ (Thema: Tempo).,aufhören,klug,einkaufen,langsam,3,langsam,„langsam“ passt hier als Synonym zu „gemächlich“ im Thema Tempo.,gemaechlich__langsam,A1,Tempo,,ready,,
sm_009,2026-02-10T08:08:00Z,,Finde das passende Synonym zu „klein“ (Thema: Beschreibung).,winzig,sauber,benötigen,müde,0,winzig,„winzig“ passt hier als Synonym zu „klein“ im Thema Beschreibung.,klein__winzig,A1,Beschreibung,,ready,,
sm_010,2026-02-10T08:09:00Z,,Welches Wort bedeutet fast dasselbe wie „winzig“ (Thema: Beschreibung)?,nett,billig,zeitig,klein,3,klein,„klein“ passt hier als Synonym zu „winzig“ im Thema Beschreibung.,winzig__klein,A1,Beschreibung,,ready,,
sm_011,2026-02-10T08:10:00Z,,Wähle das beste Synonym für „groß“ (Thema: Beschreibung).,fit,ruhig,erwidern,riesig,3,riesig,„riesig“ passt hier als Synonym zu „groß“ im Thema Beschreibung.,gross__riesig,A1,Beschreibung,,ready,,
sm_012,2026-02-10T08:11:00Z,,Synonym gesucht: „riesig“ (Thema: Beschreibung).,billig,klug,schauen,groß,3,groß,„groß“ passt hier als Synonym zu „riesig“ im Thema Beschreibung.,riesig__gross,A1,Beschreibung,,ready,,
sm_013,2026-02-10T08:12:00Z,,Finde das passende Synonym zu „klug“ (Thema: Denken).,erschöpft,traurig,schlau,nachfragen,2,schlau,„schlau“ passt hier als Synonym zu „klug“ im Thema Denken.,klug__schlau,A1,Denken,,ready,,
sm_014,2026-02-10T08:13:00Z,,Welches Wort bedeutet fast dasselbe wie „schlau“ (Thema: Denken)?,klug,antworten,falsch,rein,0,klug,„klug“ passt hier als Synonym zu „schlau“ im Thema Denken.,schlau__klug,A1,Denken,,ready,,
sm_015,2026-02-10T08:14:00Z,,Wähle das beste Synonym für „froh“ (Thema: Gefühle).,leicht,hübsch,glücklich,stark,2,glücklich,„glücklich“ passt hier als Synonym zu „froh“ im Thema Gefühle.,froh__gluecklich,A1,Gefühle,,ready,,
sm_016,2026-02-10T08:15:00Z,,Synonym gesucht: „glücklich“ (Thema: Gefühle).,stoppen,antworten,froh,groß,2,froh,„froh“ passt hier als Synonym zu „glücklich“ im Thema Gefühle.,gluecklich__froh,A1,Gefühle,,ready,,
sm_017,2026-02-10T08:16:00Z,,Finde das passende Synonym zu „traurig“ (Thema: Gefühle).,erschöpft,schwierig,unglücklich,kaufen,2,unglücklich,„unglücklich“ passt hier als Synonym zu „traurig“ im Thema Gefühle.,traurig__ungluecklich,A1,Gefühle,,ready,,
sm_018,2026-02-10T08:17:00Z,,Welches Wort bedeutet fast dasselbe wie „unglücklich“ (Thema: Gefühle)?,groß,krank,traurig,freundlich,2,traurig,„traurig“ passt hier als Synonym zu „unglücklich“ im Thema Gefühle.,ungluecklich__traurig,A1,Gefühle,,ready,,
sm_019,2026-02-10T08:18:00Z,,Wähle das beste Synonym für „sauber“ (Thema: Alltag).,brauchen,teuer,traurig,rein,3,rein,„rein“ passt hier als Synonym zu „sauber“ im Thema Alltag.,sauber__rein,A1,Alltag,,ready,,
sm_020,2026-02-10T08:19:00Z,,Synonym gesucht: „rein“ (Thema: Alltag).,korrekt,klug,sauber,einkaufen,2,sauber,„sauber“ passt hier als Synonym zu „rein“ im Thema Alltag.,rein__sauber,A1,Alltag,,ready,,
