quiz_id,created_at,published_at,question,option_1,option_2,option_3,option_4,correct_option_id,correct_answer,explanation,key,level,category,logic_domain,logic_domain_secondary,core_reason,difficulty_tag,message_id,status,audio_text,audio_file_id
logik_s2_001,2026-03-01T08:00:00Z,,"Was passt semantisch? Bevor wir das Projekt starten, müssen wir die Risiken ___.",zählen,analysieren,sammeln,waschen,1,analysieren,Vor dem Start analysiert man Risiken.,s2_a2_d1_analysieren_was_passt_semantisch_bevor_wir_das_projekt_001,A2,Semantische Logik,1,10,Vor dem Start analysiert man Risiken.,A2-logic-s2,,ready,,
logik_s2_002,2026-03-01T08:01:00Z,,"Inhaltlich richtig: Bevor wir das Projekt starten, müssen wir die Risiken ___.",analysieren,sammeln,zählen,waschen,0,analysieren,Vor dem Start analysiert man Risiken.,s2_a2_d1_analysieren_inhaltlich_richtig_bevor_wir_das_projekt_s_002,A2,Semantische Logik,1,10,Vor dem Start analysiert man Risiken.,A2-logic-s2,,ready,,
logik_s2_003,2026-03-01T08:02:00Z,,"Was passt semantisch? Wenn ein Vertrag unklar ist, sollte man zuerst Rückfragen ___.",trinken,falten,stellen,legen,2,stellen,Bei Unklarheit stellt man Rückfragen.,s2_a2_d1_stellen_was_passt_semantisch_wenn_ein_vertrag_unkl_003,A2,Semantische Logik,1,10,Bei Unklarheit stellt man Rückfragen.,A2-logic-s2,,ready,,
logik_s2_004,2026-03-01T08:03:00Z,,"Inhaltlich richtig: Wenn ein Vertrag unklar ist, sollte man zuerst Rückfragen ___.",stellen,falten,trinken,legen,0,stellen,Bei Unklarheit stellt man Rückfragen.,s2_a2_d1_stellen_inhaltlich_richtig_wenn_ein_vertrag_unklar_004,A2,Semantische Logik,1,10,Bei Unklarheit stellt man Rückfragen.,A2-logic-s2,,ready,,
logik_s2_005,2026-03-01T08:04:00Z,,Was passt semantisch? Bei einem Fehler im System müssen wir die Ursache schnell ___.,tragen,malen,finden,schneiden,2,finden,Zur Lösung muss zuerst die Ursache gefunden werden.,s2_a2_d1_finden_was_passt_semantisch_bei_einem_fehler_im_s_005,A2,Semantische Logik,1,10,Zur Lösung muss zuerst die Ursache gefunden werden.,A2-logic-s2,,ready,,
logik_s2_006,2026-03-01T08:05:00Z,,Inhaltlich richtig: Bei einem Fehler im System müssen wir die Ursache schnell ___.,malen,schneiden,tragen,finden,3,finden,Zur Lösung muss zuerst die Ursache gefunden werden.,s2_a2_d1_finden_inhaltlich_richtig_bei_einem_fehler_im_sys_006,A2,Semantische Logik,1,10,Zur Lösung muss zuerst die Ursache gefunden werden.,A2-logic-s2,,ready,,
logik_s2_007,2026-03-01T08:06:00Z,,Was passt semantisch? Für eine faire Entscheidung sollten wir alle Optionen ___.,vergessen,schälen,abwägen,parken,2,abwägen,Fairness braucht den Vergleich aller Optionen.,s2_a2_d1_abwaegen_was_passt_semantisch_fuer_eine_faire_entsc_007,A2,Semantische Logik,1,10,Fairness braucht den Vergleich aller Optionen.,A2-logic-s2,,ready,,
logik_s2_008,2026-03-01T08:07:00Z,,Inhaltlich richtig: Für eine faire Entscheidung sollten wir alle Optionen ___.,abwägen,parken,schälen,vergessen,0,abwägen,Fairness braucht den Vergleich aller Optionen.,s2_a2_d1_abwaegen_inhaltlich_richtig_fuer_eine_faire_entsche_008,A2,Semantische Logik,1,10,Fairness braucht den Vergleich aller Optionen.,A2-logic-s2,,ready,,
logik_s2_009,2026-03-01T08:08:00Z,,"Was passt semantisch? Wenn Daten fehlen, kann man die Aussage nicht sicher ___.",bewerten,bügeln,kochen,trocknen,0,bewerten,Ohne Daten kann man etwas nicht fundiert bewerten.,s2_a2_d1_bewerten_was_passt_semantisch_wenn_daten_fehlen_kan_009,A2,Semantische Logik,1,10,Ohne Daten kann man etwas nicht fundiert bewerten.,A2-logic-s2,,ready,,
logik_s2_010,2026-03-01T08:09:00Z,,"Inhaltlich richtig: Wenn Daten fehlen, kann man die Aussage nicht sicher ___.",bewerten,kochen,trocknen,bügeln,0,bewerten,Ohne Daten kann man etwas nicht fundiert bewerten.,s2_a2_d1_bewerten_inhaltlich_richtig_wenn_daten_fehlen_kann__010,A2,Semantische Logik,1,10,Ohne Daten kann man etwas nicht fundiert bewerten.,A2-logic-s2,,ready,,
