quiz_id,created_at,published_at,question,option_1,option_2,option_3,option_4,correct_option_id,correct_answer,explanation,key,level,category,message_id,status,audio_text,audio_file_id
pa_001,2026-02-14T06:00:00Z,,"Ich sage, dass ___ Termin im Alltag wirklich hilfreich ist.",meinen,mein,meine,meinem,1,mein,„Termin“ ist maskulin und steht hier im Nominativ; deshalb ist „mein“ korrekt.,a2_mein_termin_nom_1,A2,Organisation,,ready,,
pa_002,2026-02-14T06:01:00Z,,"Anna merkt, dass ___ Tasche für das Team klar relevant ist.",ihrem,ihrer,ihr,ihre,3,ihre,„Tasche“ ist feminin und steht hier im Nominativ; deshalb ist „ihre“ korrekt.,a2_ihr_tasche_nom_2,A2,Alltag,,ready,,
pa_003,2026-02-14T06:02:00Z,,"Ich weiß, dass ___ Handy für den nächsten Schritt wichtig bleibt.",mein,meine,meinem,meinen,0,mein,„Handy“ ist neutrum und steht hier im Nominativ; deshalb ist „mein“ korrekt.,a2_mein_handy_nom_3,A2,Technik,,ready,,
pa_004,2026-02-14T06:03:00Z,,"Anna sieht, dass ___ Schlüssel heute sehr wichtig ist.",ihr,ihrer,ihre,ihrem,0,ihr,„Schlüssel“ ist maskulin und steht hier im Nominativ; deshalb ist „ihr“ korrekt.,a2_ihr_schluessel_nom_4,A2,Alltag,,ready,,
pa_005,2026-02-14T06:04:00Z,,"Ich sage, dass ___ Kollegin im Kurs besonders nützlich ist.",meine,meinen,meinem,mein,0,meine,„Kollegin“ ist feminin und steht hier im Nominativ; deshalb ist „meine“ korrekt.,a2_mein_kollegin_nom_5,A2,Arbeit,,ready,,
pa_006,2026-02-14T06:05:00Z,,"Anna merkt, dass ___ Auto im Büro gerade gebraucht wird.",ihre,ihrer,ihrem,ihr,3,ihr,„Auto“ ist neutrum und steht hier im Nominativ; deshalb ist „ihr“ korrekt.,a2_ihr_auto_nom_6,A2,Reisen,,ready,,
pa_007,2026-02-14T06:06:00Z,,"Ich weiß, dass ___ Laptop im Moment gut passt.",meinen,meinem,meine,mein,3,mein,„Laptop“ ist maskulin und steht hier im Nominativ; deshalb ist „mein“ korrekt.,a2_mein_laptop_nom_7,A2,Technik,,ready,,
pa_008,2026-02-14T06:07:00Z,,"Anna sieht, dass ___ Rechnung für den Plan gerade entscheidend ist.",ihrem,ihrer,ihr,ihre,3,ihre,„Rechnung“ ist feminin und steht hier im Nominativ; deshalb ist „ihre“ korrekt.,a2_ihr_rechnung_nom_8,A2,Finanzen,,ready,,
pa_009,2026-02-14T06:08:00Z,,"Ich sage, dass ___ Ticket in dieser Woche zentral ist.",meine,meinen,meinem,mein,3,mein,„Ticket“ ist neutrum und steht hier im Nominativ; deshalb ist „mein“ korrekt.,a2_mein_ticket_nom_9,A2,Reisen,,ready,,
pa_010,2026-02-14T06:09:00Z,,"Anna merkt, dass ___ Kalender in der Besprechung eine Rolle spielt.",ihrer,ihr,ihre,ihrem,1,ihr,„Kalender“ ist maskulin und steht hier im Nominativ; deshalb ist „ihr“ korrekt.,a2_ihr_kalender_nom_10,A2,Organisation,,ready,,
pa_011,2026-02-14T06:10:00Z,,"Ich weiß, dass ___ E-Mail im Alltag wirklich hilfreich ist.",meine,meinem,meinen,mein,0,meine,„E-Mail“ ist feminin und steht hier im Nominativ; deshalb ist „meine“ korrekt.,a2_mein_e_mail_nom_11,A2,Kommunikation,,ready,,
pa_012,2026-02-14T06:11:00Z,,"Anna sieht, dass ___ Passwort für das Team klar relevant ist.",ihre,ihr,ihrer,ihrem,1,ihr,„Passwort“ ist neutrum und steht hier im Nominativ; deshalb ist „ihr“ korrekt.,a2_ihr_passwort_nom_12,A2,Technik,,ready,,
pa_013,2026-02-14T06:12:00Z,,"Ich sage, dass ___ Rucksack für den nächsten Schritt wichtig bleibt.",meine,mein,meinem,meinen,1,mein,„Rucksack“ ist maskulin und steht hier im Nominativ; deshalb ist „mein“ korrekt.,a2_mein_rucksack_nom_13,A2,Reisen,,ready,,
pa_014,2026-02-14T06:13:00Z,,"Anna merkt, dass ___ App heute sehr wichtig ist.",ihre,ihrer,ihr,ihrem,0,ihre,„App“ ist feminin und steht hier im Nominativ; deshalb ist „ihre“ korrekt.,a2_ihr_app_nom_14,A2,Technik,,ready,,
pa_015,2026-02-14T06:14:00Z,,"Ich weiß, dass ___ Projekt im Kurs besonders nützlich ist.",meinen,meinem,mein,meine,2,mein,„Projekt“ ist neutrum und steht hier im Nominativ; deshalb ist „mein“ korrekt.,a2_mein_projekt_nom_15,A2,Arbeit,,ready,,
pa_016,2026-02-14T06:15:00Z,,"Anna sieht, dass ___ Ausweis im Büro gerade gebraucht wird.",ihre,ihr,ihrem,ihrer,1,ihr,„Ausweis“ ist maskulin und steht hier im Nominativ; deshalb ist „ihr“ korrekt.,a2_ihr_ausweis_nom_16,A2,Reisen,,ready,,
pa_017,2026-02-14T06:16:00Z,,"Ich sage, dass ___ Wohnung im Moment gut passt.",meine,meinen,mein,meinem,0,meine,„Wohnung“ ist feminin und steht hier im Nominativ; deshalb ist „meine“ korrekt.,a2_mein_wohnung_nom_17,A2,Wohnen,,ready,,
pa_018,2026-02-14T06:17:00Z,,"Anna merkt, dass ___ Formular für den Plan gerade entscheidend ist.",ihr,ihrer,ihre,ihrem,0,ihr,„Formular“ ist neutrum und steht hier im Nominativ; deshalb ist „ihr“ korrekt.,a2_ihr_formular_nom_18,A2,Büro,,ready,,
pa_019,2026-02-14T06:18:00Z,,"Ich weiß, dass ___ Vertrag in dieser Woche zentral ist.",meinen,mein,meinem,meine,1,mein,„Vertrag“ ist maskulin und steht hier im Nominativ; deshalb ist „mein“ korrekt.,a2_mein_vertrag_nom_19,A2,Arbeit,,ready,,
pa_020,2026-02-14T06:19:00Z,,"Anna sieht, dass ___ Aufgabe in der Besprechung eine Rolle spielt.",ihrer,ihrem,ihre,ihr,2,ihre,„Aufgabe“ ist feminin und steht hier im Nominativ; deshalb ist „ihre“ korrekt.,a2_ihr_aufgabe_nom_20,A2,Lernen,,ready,,
pa_021,2026-02-14T06:20:00Z,,"Ich sage, dass ___ Problem im Alltag wirklich hilfreich ist.",mein,meinen,meine,meinem,0,mein,„Problem“ ist neutrum und steht hier im Nominativ; deshalb ist „mein“ korrekt.,a2_mein_problem_nom_21,A2,Alltag,,ready,,
pa_022,2026-02-14T06:21:00Z,,"Anna merkt, dass ___ Bericht für das Team klar relevant ist.",ihrem,ihre,ihr,ihrer,2,ihr,„Bericht“ ist maskulin und steht hier im Nominativ; deshalb ist „ihr“ korrekt.,a2_ihr_bericht_nom_22,A2,Arbeit,,ready,,
pa_023,2026-02-14T06:22:00Z,,"Ich weiß, dass ___ Präsentation für den nächsten Schritt wichtig bleibt.",meinen,meinem,mein,meine,3,meine,„Präsentation“ ist feminin und steht hier im Nominativ; deshalb ist „meine“ korrekt.,a2_mein_praesentation_nom_23,A2,Arbeit,,ready,,
pa_024,2026-02-14T06:23:00Z,,"Anna sieht, dass ___ Foto heute sehr wichtig ist.",ihre,ihrer,ihrem,ihr,3,ihr,„Foto“ ist neutrum und steht hier im Nominativ; deshalb ist „ihr“ korrekt.,a2_ihr_foto_nom_24,A2,Freizeit,,ready,,
pa_025,2026-02-14T06:24:00Z,,"Ich sage, dass ___ Kurs im Kurs besonders nützlich ist.",meinen,mein,meine,meinem,1,mein,„Kurs“ ist maskulin und steht hier im Nominativ; deshalb ist „mein“ korrekt.,a2_mein_kurs_nom_25,A2,Lernen,,ready,,
pa_026,2026-02-14T06:25:00Z,,"Anna merkt, dass ___ Idee im Büro gerade gebraucht wird.",ihre,ihr,ihrer,ihrem,0,ihre,„Idee“ ist feminin und steht hier im Nominativ; deshalb ist „ihre“ korrekt.,a2_ihr_idee_nom_26,A2,Kreativität,,ready,,
pa_027,2026-02-14T06:26:00Z,,"Ich weiß, dass ___ Team im Moment gut passt.",meinem,mein,meinen,meine,1,mein,„Team“ ist neutrum und steht hier im Nominativ; deshalb ist „mein“ korrekt.,a2_mein_team_nom_27,A2,Arbeit,,ready,,
pa_028,2026-02-14T06:27:00Z,,"Anna sieht, dass ___ Plan für den Plan gerade entscheidend ist.",ihrer,ihr,ihre,ihrem,1,ihr,„Plan“ ist maskulin und steht hier im Nominativ; deshalb ist „ihr“ korrekt.,a2_ihr_plan_nom_28,A2,Organisation,,ready,,
pa_029,2026-02-14T06:28:00Z,,"Ich sage, dass ___ Sprache in dieser Woche zentral ist.",meinem,mein,meine,meinen,2,meine,„Sprache“ ist feminin und steht hier im Nominativ; deshalb ist „meine“ korrekt.,a2_mein_sprache_nom_29,A2,Lernen,,ready,,
pa_030,2026-02-14T06:29:00Z,,"Anna merkt, dass ___ Dokument in der Besprechung eine Rolle spielt.",ihre,ihrer,ihr,ihrem,2,ihr,„Dokument“ ist neutrum und steht hier im Nominativ; deshalb ist „ihr“ korrekt.,a2_ihr_dokument_nom_30,A2,Büro,,ready,,
pa_031,2026-02-14T06:30:00Z,,"Ich weiß, dass ___ Drucker im Alltag wirklich hilfreich ist.",mein,meinem,meine,meinen,0,mein,„Drucker“ ist maskulin und steht hier im Nominativ; deshalb ist „mein“ korrekt.,a2_mein_drucker_nom_31,A2,Technik,,ready,,
pa_032,2026-02-14T06:31:00Z,,"Anna sieht, dass ___ Nachricht für das Team klar relevant ist.",ihre,ihr,ihrem,ihrer,0,ihre,„Nachricht“ ist feminin und steht hier im Nominativ; deshalb ist „ihre“ korrekt.,a2_ihr_nachricht_nom_32,A2,Kommunikation,,ready,,
pa_033,2026-02-14T06:32:00Z,,"Ich sage, dass ___ Programm für den nächsten Schritt wichtig bleibt.",meinen,mein,meinem,meine,1,mein,„Programm“ ist neutrum und steht hier im Nominativ; deshalb ist „mein“ korrekt.,a2_mein_programm_nom_33,A2,Technik,,ready,,
pa_034,2026-02-14T06:33:00Z,,"Anna merkt, dass ___ Chef heute sehr wichtig ist.",ihrem,ihre,ihr,ihrer,2,ihr,„Chef“ ist maskulin und steht hier im Nominativ; deshalb ist „ihr“ korrekt.,a2_ihr_chef_nom_34,A2,Arbeit,,ready,,
pa_035,2026-02-14T06:34:00Z,,"Ich weiß, dass ___ Kamera im Kurs besonders nützlich ist.",meinen,mein,meinem,meine,3,meine,„Kamera“ ist feminin und steht hier im Nominativ; deshalb ist „meine“ korrekt.,a2_mein_kamera_nom_35,A2,Freizeit,,ready,,
pa_036,2026-02-14T06:35:00Z,,Ihr sucht ___ Tasche für die Aufgabe heute.,euren,euer,eurer,eure,3,eure,„Tasche“ ist feminin und steht hier im Akkusativ; deshalb ist „eure“ korrekt.,a2_euer_tasche_akk_36,A2,Alltag,,ready,,
pa_037,2026-02-14T06:36:00Z,,Er nutzt ___ Handy für die nächste Besprechung.,seiner,seinen,sein,seinem,2,sein,„Handy“ ist neutrum und steht hier im Akkusativ; deshalb ist „sein“ korrekt.,a2_sein_handy_akk_37,A2,Technik,,ready,,
