quiz_id,created_at,published_at,question,option_1,option_2,option_3,option_4,correct_option_id,correct_answer,explanation,key,level,category,message_id,status,audio_text,audio_file_id
am_001,2026-02-10T07:00:00Z,,Was ist das Gegenteil von „groß“?,lang,klein,schmutzig,traurig,1,klein,„klein“ ist das Gegenteil von „groß“. Merke dir dieses Wortpaar im Kontext.,gross__klein,A1,Eigenschaften,,ready,,
am_002,2026-02-10T07:01:00Z,,Finde das Gegenteil: „klein“.,groß,schön,lang,warm,0,groß,„groß“ ist das Gegenteil von „klein“. Merke dir dieses Wortpaar im Kontext.,klein__gross,A1,Eigenschaften,,ready,,
am_003,2026-02-10T07:02:00Z,,Welches Wort ist das Gegenteil von „alt“?,jung,schmutzig,schwer,offen,0,jung,„jung“ ist das Gegenteil von „alt“. Merke dir dieses Wortpaar im Kontext.,alt__jung,A1,Eigenschaften,,ready,,
am_004,2026-02-10T07:03:00Z,,Wähle das Gegenwort zu „jung“.,dünn,nass,alt,dick,2,alt,„alt“ ist das Gegenteil von „jung“. Merke dir dieses Wortpaar im Kontext.,jung__alt,A1,Eigenschaften,,ready,,
am_005,2026-02-10T07:04:00Z,,Was ist das Gegenteil von „kalt“?,hell,dünn,sauer,warm,3,warm,„warm“ ist das Gegenteil von „kalt“. Merke dir dieses Wortpaar im Kontext.,kalt__warm,A1,Eigenschaften,,ready,,
am_006,2026-02-10T07:05:00Z,,Finde das Gegenteil: „warm“.,kurz,kalt,schön,geschlossen,1,kalt,„kalt“ ist das Gegenteil von „warm“. Merke dir dieses Wortpaar im Kontext.,warm__kalt,A1,Eigenschaften,,ready,,
am_007,2026-02-10T07:06:00Z,,Welches Wort ist das Gegenteil von „laut“?,schön,hässlich,trocken,leise,3,leise,„leise“ ist das Gegenteil von „laut“. Merke dir dieses Wortpaar im Kontext.,laut__leise,A1,Eigenschaften,,ready,,
am_008,2026-02-10T07:07:00Z,,Wähle das Gegenwort zu „leise“.,schmutzig,arm,laut,reich,2,laut,„laut“ ist das Gegenteil von „leise“. Merke dir dieses Wortpaar im Kontext.,leise__laut,A1,Eigenschaften,,ready,,
am_009,2026-02-10T07:08:00Z,,Was ist das Gegenteil von „schnell“?,krank,sauber,offen,langsam,3,langsam,„langsam“ ist das Gegenteil von „schnell“. Merke dir dieses Wortpaar im Kontext.,schnell__langsam,A1,Eigenschaften,,ready,,
am_010,2026-02-10T07:09:00Z,,Finde das Gegenteil: „langsam“.,schnell,schwer,billig,schmutzig,0,schnell,„schnell“ ist das Gegenteil von „langsam“. Merke dir dieses Wortpaar im Kontext.,langsam__schnell,A1,Eigenschaften,,ready,,
am_011,2026-02-10T07:10:00Z,,Welches Wort ist das Gegenteil von „früh“?,hier,oben,rechts,spät,3,spät,„spät“ ist das Gegenteil von „früh“. Merke dir dieses Wortpaar im Kontext.,frueh__spaet,A1,Zeit,,ready,,
am_012,2026-02-10T07:11:00Z,,Wähle das Gegenwort zu „spät“.,unten,früh,rechts,hier,1,früh,„früh“ ist das Gegenteil von „spät“. Merke dir dieses Wortpaar im Kontext.,spaet__frueh,A1,Zeit,,ready,,
am_013,2026-02-10T07:12:00Z,,Was ist das Gegenteil von „hell“?,dunkel,trocken,warm,schön,0,dunkel,„dunkel“ ist das Gegenteil von „hell“. Merke dir dieses Wortpaar im Kontext.,hell__dunkel,A1,Eigenschaften,,ready,,
am_014,2026-02-10T07:13:00Z,,Finde das Gegenteil: „dunkel“.,arm,trocken,hell,schön,2,hell,„hell“ ist das Gegenteil von „dunkel“. Merke dir dieses Wortpaar im Kontext.,dunkel__hell,A1,Eigenschaften,,ready,,
am_015,2026-02-10T07:14:00Z,,Welches Wort ist das Gegenteil von „voll“?,klein,langsam,leer,groß,2,leer,„leer“ ist das Gegenteil von „voll“. Merke dir dieses Wortpaar im Kontext.,voll__leer,A1,Eigenschaften,,ready,,
am_016,2026-02-10T07:15:00Z,,Wähle das Gegenwort zu „leer“.,voll,sauer,schwach,hässlich,0,voll,„voll“ ist das Gegenteil von „leer“. Merke dir dieses Wortpaar im Kontext.,leer__voll,A1,Eigenschaften,,ready,,
am_017,2026-02-10T07:16:00Z,,Was ist das Gegenteil von „leicht“?,hart,trocken,weich,schwer,3,schwer,„schwer“ ist das Gegenteil von „leicht“. Merke dir dieses Wortpaar im Kontext.,leicht__schwer,A1,Eigenschaften,,ready,,
am_018,2026-02-10T07:17:00Z,,Finde das Gegenteil: „schwer“.,leicht,richtig,groß,alt,0,leicht,„leicht“ ist das Gegenteil von „schwer“. Merke dir dieses Wortpaar im Kontext.,schwer__leicht,A1,Eigenschaften,,ready,,
am_019,2026-02-10T07:18:00Z,,Welches Wort ist das Gegenteil von „teuer“?,hoch,falsch,billig,niedrig,2,billig,„billig“ ist das Gegenteil von „teuer“. Merke dir dieses Wortpaar im Kontext.,teuer__billig,A1,Alltag,,ready,,
