quiz_id,created_at,published_at,question,option_1,option_2,option_3,option_4,correct_option_id,correct_answer,explanation,key,level,category,message_id,status,audio_text,audio_file_id
mv_001,,,Du ___ heute länger draußen bleiben. Deine Mutter hat es erlaubt.,sollst,musst,darfst,willst,2,darfst,"Es ist erlaubt, deshalb passt 'darfst'. Die anderen Modalverben passen hier nicht.",du_heute_laenger_draussen_bleiben_deine_mutter_hat_es_erlaubt,A1,Erlaubnis,,ready,,
mv_002,,,Ich ___ jetzt eine Pause machen. Mein Chef hat es erlaubt.,soll,darf,muss,will,1,darf,"Es ist erlaubt, deshalb passt 'darf'. Die anderen Modalverben passen hier nicht.",ich_jetzt_eine_pause_machen_mein_chef_hat_es_erlaubt,A1,Erlaubnis,,ready,,
mv_003,,,Wir ___ hier parken. Es ist erlaubt.,wollen,müssen,dürfen,sollen,2,dürfen,"Es ist erlaubt, deshalb passt 'dürfen'. Die anderen Modalverben passen hier nicht.",wir_hier_parken_es_ist_erlaubt,A1,Erlaubnis,,ready,,
mv_004,,,Ihr ___ im Unterricht ein Wörterbuch benutzen. Die Lehrerin erlaubt es.,sollt,wollt,müsst,dürft,3,dürft,"Es ist erlaubt, deshalb passt 'dürft'. Die anderen Modalverben passen hier nicht.",ihr_im_unterricht_ein_woerterbuch_benutzen_die_lehrerin_erlaubt_es,A1,Erlaubnis,,ready,,
mv_005,,,Anna ___ nach der Schule zu einer Freundin gehen. Ihre Eltern haben es erlaubt.,muss,soll,darf,will,2,darf,"Es ist erlaubt, deshalb passt 'darf'. Die anderen Modalverben passen hier nicht.",anna_nach_der_schule_zu_einer_freundin_gehen_ihre_eltern_haben_es_erlaubt,A1,Erlaubnis,,ready,,
mv_006,,,Der Schüler ___ heute früher nach Hause gehen. Der Lehrer hat es erlaubt.,soll,darf,will,muss,1,darf,"Es ist erlaubt, deshalb passt 'darf'. Die anderen Modalverben passen hier nicht.",der_schueler_heute_frueher_nach_hause_gehen_der_lehrer_hat_es_erlaubt,A1,Erlaubnis,,ready,,
mv_007,,,Die Nachbarn ___ im Park grillen. Die Stadt erlaubt es heute.,müssen,sollen,dürfen,wollen,2,dürfen,"Es ist erlaubt, deshalb passt 'dürfen'. Die anderen Modalverben passen hier nicht.",die_nachbarn_im_park_grillen_die_stadt_erlaubt_es_heute,A1,Erlaubnis,,ready,,
mv_008,,,Das Kind ___ heute länger fernsehen. Die Eltern erlauben es.,muss,soll,darf,will,2,darf,"Es ist erlaubt, deshalb passt 'darf'. Die anderen Modalverben passen hier nicht.",das_kind_heute_laenger_fernsehen_die_eltern_erlauben_es,A1,Erlaubnis,,ready,,
mv_009,,,Tom ___ im Schwimmbad die Rutsche benutzen. Der Bademeister erlaubt es.,muss,darf,will,soll,1,darf,"Es ist erlaubt, deshalb passt 'darf'. Die anderen Modalverben passen hier nicht.",tom_im_schwimmbad_die_rutsche_benutzen_der_bademeister_erlaubt_es,A1,Erlaubnis,,ready,,
mv_010,,,Meine Schwester ___ am Wochenende ausgehen. Die Eltern haben es erlaubt.,muss,darf,will,soll,1,darf,"Es ist erlaubt, deshalb passt 'darf'. Die anderen Modalverben passen hier nicht.",meine_schwester_am_wochenende_ausgehen_die_eltern_haben_es_erlaubt,A2,Erlaubnis,,ready,,
