quiz_id,created_at,published_at,question,option_1,option_2,option_3,option_4,correct_option_id,correct_answer,explanation,key,level,category,message_id,status,audio_text,audio_file_id
ad_001,2026-02-10T09:00:00Z,,Ich kaufe Blumen ___ Arzt.,für die,für den,für das,für der,1,für den,Bei „für“ steht hier der Akkusativ. Deshalb ist „für den“ korrekt.,fuer_arzt_akk_a1_01,A1,Alltag,,ready,,
ad_002,2026-02-10T09:01:00Z,,Schnellcheck: Ich kaufe Blumen ___ Arzt.,für den,für der,für dem,für das,0,für den,Bei „für“ steht hier der Akkusativ. Deshalb ist „für den“ korrekt.,fuer_arzt_akk_a1_02,A1,Alltag,,ready,,
ad_003,2026-02-10T09:02:00Z,,Wir haben eine kleine Karte ___ Lehrerin.,für dem,für die,für das,für der,1,für die,Bei „für“ steht hier der Akkusativ. Deshalb ist „für die“ korrekt.,fuer_lehrerin_akk_a1_03,A1,Schule,,ready,,
ad_004,2026-02-10T09:03:00Z,,Schnellcheck: Wir haben eine kleine Karte ___ Lehrerin.,für den,für das,für der,für die,3,für die,Bei „für“ steht hier der Akkusativ. Deshalb ist „für die“ korrekt.,fuer_lehrerin_akk_a1_04,A1,Schule,,ready,,
ad_005,2026-02-10T09:04:00Z,,Sie bestellt Saft ___ Kind.,für dem,für das,für die,für den,1,für das,Bei „für“ steht hier der Akkusativ. Deshalb ist „für das“ korrekt.,fuer_kind_akk_a1_05,A1,Familie,,ready,,
ad_006,2026-02-10T09:05:00Z,,Schnellcheck: Sie bestellt Saft ___ Kind.,für den,für dem,für das,für die,2,für das,Bei „für“ steht hier der Akkusativ. Deshalb ist „für das“ korrekt.,fuer_kind_akk_a1_06,A1,Familie,,ready,,
ad_007,2026-02-10T09:06:00Z,,Ich kann die Tür nicht öffnen ___ Schlüssel.,ohne den,ohne dem,ohne das,ohne der,0,ohne den,Bei „ohne“ steht hier der Akkusativ. Deshalb ist „ohne den“ korrekt.,ohne_schluessel_akk_a1_07,A1,Alltag,,ready,,
ad_008,2026-02-10T09:07:00Z,,Schnellcheck: Ich kann die Tür nicht öffnen ___ Schlüssel.,ohne den,ohne der,ohne dem,ohne das,0,ohne den,Bei „ohne“ steht hier der Akkusativ. Deshalb ist „ohne den“ korrekt.,ohne_schluessel_akk_a1_08,A1,Alltag,,ready,,
ad_009,2026-02-10T09:08:00Z,,Meine Oma liest heute ___ Brille.,ohne der,ohne die,ohne dem,ohne den,1,ohne die,Bei „ohne“ steht hier der Akkusativ. Deshalb ist „ohne die“ korrekt.,ohne_brille_akk_a1_09,A1,Familie,,ready,,
ad_010,2026-02-10T09:09:00Z,,Schnellcheck: Meine Oma liest heute ___ Brille.,ohne die,ohne dem,ohne den,ohne der,0,ohne die,Bei „ohne“ steht hier der Akkusativ. Deshalb ist „ohne die“ korrekt.,ohne_brille_akk_a1_10,A1,Familie,,ready,,
ad_011,2026-02-10T09:10:00Z,,Er fährt am Wochenende ___ Auto.,ohne der,ohne die,ohne das,ohne den,2,ohne das,Bei „ohne“ steht hier der Akkusativ. Deshalb ist „ohne das“ korrekt.,ohne_auto_akk_a1_11,A1,Mobilität,,ready,,
ad_012,2026-02-10T09:11:00Z,,Schnellcheck: Er fährt am Wochenende ___ Auto.,ohne das,ohne die,ohne den,ohne dem,0,ohne das,Bei „ohne“ steht hier der Akkusativ. Deshalb ist „ohne das“ korrekt.,ohne_auto_akk_a1_12,A1,Mobilität,,ready,,
ad_013,2026-02-10T09:12:00Z,,Wir sitzen heute Abend ___ Tisch.,um die,um dem,um der,um den,3,um den,Bei „um“ steht hier der Akkusativ. Deshalb ist „um den“ korrekt.,um_tisch_akk_a1_13,A1,Alltag,,ready,,
ad_014,2026-02-10T09:13:00Z,,Schnellcheck: Wir sitzen heute Abend ___ Tisch.,um der,um die,um den,um dem,2,um den,Bei „um“ steht hier der Akkusativ. Deshalb ist „um den“ korrekt.,um_tisch_akk_a1_14,A1,Alltag,,ready,,
