quiz_id,created_at,published_at,question,option_1,option_2,option_3,option_4,correct_option_id,correct_answer,explanation,key,level,category,message_id,status,audio_text,audio_file_id
ps_001,2026-02-12T09:01:00Z,,"Nach dem Kurs gehen wir ___ die Bibliothek, um ein Grammatikbuch auszuleihen.",an,auf,zu,in,3,in,Bei Bewegung in ein Gebäude nutzt man hier „in“ + Akkusativ.,a2_move_1_in_die_bibliothek,A2,Bewegung,,ready,,
ps_002,2026-02-12T09:02:00Z,,"Nach dem Kurs gehen wir ___ das Museum, um die neue Fotoausstellung zu sehen.",an,in,auf,zu,1,in,Bei Bewegung in ein geschlossenes Gebäude passt „in“.,a2_move_2_in_das_museum,A2,Bewegung,,ready,,
ps_003,2026-02-12T09:03:00Z,,"Nach dem Kurs gehen wir ___ den Supermarkt, um schnell Milch zu kaufen.",auf,an,in,zu,2,in,Bei Bewegung in einen Laden verwendet man „in“.,a2_move_3_in_den_supermarkt,A2,Bewegung,,ready,,
ps_004,2026-02-12T09:04:00Z,,"Nach dem Kurs gehen wir ___ die Apotheke, weil ich ein Rezept einlösen muss.",auf,in,an,zu,1,in,Bei Bewegung in eine Apotheke ist „in“ korrekt.,a2_move_4_in_die_apotheke,A2,Bewegung,,ready,,
ps_005,2026-02-12T09:05:00Z,,"Nach dem Kurs gehen wir ___ das Kino, um den Film um 20 Uhr zu sehen.",zu,in,an,auf,1,in,Bei Bewegung in ein Kino nutzt man „in“.,a2_move_5_in_das_kino,A2,Bewegung,,ready,,
ps_006,2026-02-12T09:06:00Z,,"Nach dem Kurs gehen wir ___ den Zoo, damit die Kinder die Tiere sehen.",auf,an,zu,in,3,in,Bei Bewegung in den Zoo passt „in“.,a2_move_6_in_den_zoo,A2,Bewegung,,ready,,
ps_007,2026-02-12T09:07:00Z,,"Nach dem Kurs gehen wir ___ das Theater, weil heute Premiere ist.",zu,auf,an,in,3,in,Bei Bewegung in ein Theater verwendet man „in“.,a2_move_7_in_das_theater,A2,Bewegung,,ready,,
ps_008,2026-02-12T09:08:00Z,,"Nach dem Kurs gehen wir ___ die Innenstadt, um ein Geschenk zu besorgen.",in,auf,zu,an,0,in,Bei Bewegung in einen Stadtbereich nimmt man „in“.,a2_move_8_in_die_innenstadt,A2,Bewegung,,ready,,
ps_009,2026-02-12T09:09:00Z,,"Nach dem Kurs gehen wir ___ den Hörsaal, weil die Vorlesung gleich beginnt.",an,zu,in,auf,2,in,Bei Bewegung in einen Raum ist „in“ richtig.,a2_move_9_in_den_hoersaal,A2,Bewegung,,ready,,
ps_010,2026-02-12T09:10:00Z,,"Nach dem Kurs gehen wir ___ die Werkstatt, um das Fahrrad reparieren zu lassen.",an,auf,in,zu,2,in,Bei Bewegung in eine Werkstatt passt „in“.,a2_move_10_in_die_werkstatt,A2,Bewegung,,ready,,
ps_011,2026-02-12T09:11:00Z,,"Nach dem Kurs gehen wir ___ den Spielplatz, damit die Kinder rutschen können.",auf,in,an,zu,0,auf,Für „Spielplatz“ ist bei Bewegung das feste Muster „auf“ üblich.,a2_move_11_auf_den_spielplatz,A2,Bewegung,,ready,,
ps_012,2026-02-12T09:12:00Z,,"Nach dem Kurs gehen wir ___ den Markt, um frisches Gemüse zu kaufen.",auf,an,in,zu,0,auf,Bei „Markt“ sagt man typischerweise „auf den Markt“.,a2_move_12_auf_den_markt,A2,Bewegung,,ready,,
ps_013,2026-02-12T09:13:00Z,,"Nach dem Kurs gehen wir ___ die Bühne, weil der Vortrag gleich startet.",an,in,zu,auf,3,auf,Bei Bewegung zur Bühnenfläche nutzt man „auf“.,a2_move_13_auf_die_buehne,A2,Bewegung,,ready,,
ps_014,2026-02-12T09:14:00Z,,"Nach dem Kurs gehen wir ___ das Dach, um die Solaranlage zu prüfen.",in,an,zu,auf,3,auf,Bei Bewegung auf eine Oberfläche passt „auf“.,a2_move_14_auf_das_dach,A2,Bewegung,,ready,,
ps_015,2026-02-12T09:15:00Z,,"Nach dem Kurs gehen wir ___ die Insel, weil dort unsere Freunde wohnen.",in,zu,auf,an,2,auf,Bei Inseln verwendet man oft „auf“.,a2_move_15_auf_die_insel,A2,Bewegung,,ready,,
ps_016,2026-02-12T09:16:00Z,,"Nach dem Kurs gehen wir ___ den Balkon, um frische Luft zu holen.",zu,in,an,auf,3,auf,Bei Bewegung auf den Balkon nutzt man „auf“.,a2_move_16_auf_den_balkon,A2,Bewegung,,ready,,
ps_017,2026-02-12T09:17:00Z,,"Nach dem Kurs gehen wir ___ die Messe, um neue Geräte zu testen.",an,zu,in,auf,3,auf,Bei Veranstaltungen wie „Messe“ sagt man „auf die Messe“.,a2_move_17_auf_die_messe,A2,Bewegung,,ready,,
ps_018,2026-02-12T09:18:00Z,,"Nach dem Kurs gehen wir ___ den Strand, um den Sonnenuntergang zu sehen.",an,zu,in,auf,0,an,Bei Küsten-/Strandzielen ist „an“ üblich.,a2_move_18_an_den_strand,A2,Bewegung,,ready,,
ps_019,2026-02-12T09:19:00Z,,"Nach dem Kurs gehen wir ___ die Küste, weil wir am Meer wandern wollen.",zu,auf,in,an,3,an,Bei Bewegung zur Küste verwendet man „an“.,a2_move_19_an_die_kueste,A2,Bewegung,,ready,,
ps_020,2026-02-12T09:20:00Z,,"Nach dem Kurs gehen wir ___ den Fluss, um dort zu picknicken.",an,zu,in,auf,0,an,Bei Bewegung an ein Gewässer passt „an“.,a2_move_20_an_den_fluss,A2,Bewegung,,ready,,
