quiz_id,created_at,published_at,question,option_1,option_2,option_3,option_4,correct_option_id,correct_answer,explanation,key,level,category,message_id,status,audio_text,audio_file_id
sb_001,2026-02-14T09:00:00Z,,Welche Satzstellung ist korrekt? Heute / fahre / ich / mit / dem / Rad / ins / Büro,ich Heute fahre mit dem Rad ins Büro.,Heute ich fahre mit dem Rad ins Büro.,Heute mit dem Rad ins Büro ich fahre.,Heute fahre ich mit dem Rad ins Büro.,3,Heute fahre ich mit dem Rad ins Büro.,"Zeit steht im Vorfeld, deshalb steht das finite Verb auf Position 2 (V2).",satzbau_001_zeit_v2_heute_fahre_ich_mit_dem_rad_ins_buero,A2,Zeit-V2,,ready,,
sb_002,2026-02-14T09:01:00Z,,Welche Satzstellung ist korrekt? Morgen / treffe / ich / meine / Freundin / am / Bahnhof,ich Morgen treffe meine Freundin am Bahnhof.,Morgen meine Freundin am Bahnhof ich treffe.,Morgen treffe ich meine Freundin am Bahnhof.,Morgen ich treffe meine Freundin am Bahnhof.,2,Morgen treffe ich meine Freundin am Bahnhof.,"Zeit steht im Vorfeld, deshalb steht das finite Verb auf Position 2 (V2).",satzbau_002_zeit_v2_morgen_treffe_ich_meine_freundin_am_bahnhof,A2,Zeit-V2,,ready,,
sb_003,2026-02-14T09:02:00Z,,Welche Satzstellung ist korrekt? Heute / Abend / koche / ich / für / meine / Nachbarn / eine / Suppe,ich Heute Abend koche für meine Nachbarn eine Suppe.,Heute Abend ich koche für meine Nachbarn eine Suppe.,Heute Abend für meine Nachbarn eine Suppe ich koche.,Heute Abend koche ich für meine Nachbarn eine Suppe.,3,Heute Abend koche ich für meine Nachbarn eine Suppe.,"Zeit steht im Vorfeld, deshalb steht das finite Verb auf Position 2 (V2).",satzbau_003_zeit_v2_heute_abend_koche_ich_fuer_meine_nachbarn_eine_suppe,A2,Zeit-V2,,ready,,
sb_004,2026-02-14T09:03:00Z,,Welche Satzstellung ist korrekt? Am / Montag / lerne / ich / in / der / Bibliothek / neue / Verben,ich Am Montag lerne in der Bibliothek neue Verben.,Am Montag lerne ich in der Bibliothek neue Verben.,Am Montag in der Bibliothek neue Verben ich lerne.,Am Montag ich lerne in der Bibliothek neue Verben.,1,Am Montag lerne ich in der Bibliothek neue Verben.,"Zeit steht im Vorfeld, deshalb steht das finite Verb auf Position 2 (V2).",satzbau_004_zeit_v2_am_montag_lerne_ich_in_der_bibliothek_neue_verben,A2,Zeit-V2,,ready,,
sb_005,2026-02-14T09:04:00Z,,Welche Satzstellung ist korrekt? Am / Dienstag / schreibe / ich / eine / Nachricht / an / meinen / Chef,Am Dienstag eine Nachricht an meinen Chef ich schreibe.,Am Dienstag ich schreibe eine Nachricht an meinen Chef.,ich Am Dienstag schreibe eine Nachricht an meinen Chef.,Am Dienstag schreibe ich eine Nachricht an meinen Chef.,3,Am Dienstag schreibe ich eine Nachricht an meinen Chef.,"Zeit steht im Vorfeld, deshalb steht das finite Verb auf Position 2 (V2).",satzbau_005_zeit_v2_am_dienstag_schreibe_ich_eine_nachricht_an_meinen_chef,A2,Zeit-V2,,ready,,
sb_006,2026-02-14T09:05:00Z,,Welche Satzstellung ist korrekt? Am / Mittwoch / besuche / ich / meinen / Bruder / im / Krankenhaus,Am Mittwoch meinen Bruder im Krankenhaus ich besuche.,ich Am Mittwoch besuche meinen Bruder im Krankenhaus.,Am Mittwoch ich besuche meinen Bruder im Krankenhaus.,Am Mittwoch besuche ich meinen Bruder im Krankenhaus.,3,Am Mittwoch besuche ich meinen Bruder im Krankenhaus.,"Zeit steht im Vorfeld, deshalb steht das finite Verb auf Position 2 (V2).",satzbau_006_zeit_v2_am_mittwoch_besuche_ich_meinen_bruder_im_krankenhaus,A2,Zeit-V2,,ready,,
sb_007,2026-02-14T09:06:00Z,,Welche Satzstellung ist korrekt? Am / Donnerstag / kaufe / ich / auf / dem / Markt / frisches / Obst,Am Donnerstag auf dem Markt frisches Obst ich kaufe.,Am Donnerstag ich kaufe auf dem Markt frisches Obst.,ich Am Donnerstag kaufe auf dem Markt frisches Obst.,Am Donnerstag kaufe ich auf dem Markt frisches Obst.,3,Am Donnerstag kaufe ich auf dem Markt frisches Obst.,"Zeit steht im Vorfeld, deshalb steht das finite Verb auf Position 2 (V2).",satzbau_007_zeit_v2_am_donnerstag_kaufe_ich_auf_dem_markt_frisches_obst,A2,Zeit-V2,,ready,,
sb_008,2026-02-14T09:07:00Z,,Welche Satzstellung ist korrekt? Am / Freitag / spiele / ich / mit / meiner / Tochter / im / Park,Am Freitag ich spiele mit meiner Tochter im Park.,ich Am Freitag spiele mit meiner Tochter im Park.,Am Freitag spiele ich mit meiner Tochter im Park.,Am Freitag mit meiner Tochter im Park ich spiele.,2,Am Freitag spiele ich mit meiner Tochter im Park.,"Zeit steht im Vorfeld, deshalb steht das finite Verb auf Position 2 (V2).",satzbau_008_zeit_v2_am_freitag_spiele_ich_mit_meiner_tochter_im_park,A2,Zeit-V2,,ready,,
sb_009,2026-02-14T09:08:00Z,,Welche Satzstellung ist korrekt? Am / Samstag / räume / ich / die / Küche / mit / meiner / Schwester / auf,Am Samstag räume ich die Küche mit meiner Schwester auf.,Am Samstag die Küche mit meiner Schwester auf ich räume.,ich Am Samstag räume die Küche mit meiner Schwester auf.,Am Samstag ich räume die Küche mit meiner Schwester auf.,0,Am Samstag räume ich die Küche mit meiner Schwester auf.,"Zeit steht im Vorfeld, deshalb steht das finite Verb auf Position 2 (V2).",satzbau_009_zeit_v2_am_samstag_raeume_ich_die_kueche_mit_meiner_schwester_auf,A2,Zeit-V2,,ready,,
sb_010,2026-02-14T09:09:00Z,,Welche Satzstellung ist korrekt? Am / Sonntag / frühstücke / ich / mit / meinen / Eltern / im / Garten,Am Sonntag ich frühstücke mit meinen Eltern im Garten.,Am Sonntag mit meinen Eltern im Garten ich frühstücke.,ich Am Sonntag frühstücke mit meinen Eltern im Garten.,Am Sonntag frühstücke ich mit meinen Eltern im Garten.,3,Am Sonntag frühstücke ich mit meinen Eltern im Garten.,"Zeit steht im Vorfeld, deshalb steht das finite Verb auf Position 2 (V2).",satzbau_010_zeit_v2_am_sonntag_fruehstuecke_ich_mit_meinen_eltern_im_garten,A2,Zeit-V2,,ready,,
sb_011,2026-02-14T09:10:00Z,,Welche Satzstellung ist korrekt? Nach / der / Arbeit / rufe / ich / meine / Oma / aus / dem / Bus / an,Nach der Arbeit meine Oma aus dem Bus an ich rufe.,Nach der Arbeit ich rufe meine Oma aus dem Bus an.,ich Nach der Arbeit rufe meine Oma aus dem Bus an.,Nach der Arbeit rufe ich meine Oma aus dem Bus an.,3,Nach der Arbeit rufe ich meine Oma aus dem Bus an.,"Zeit steht im Vorfeld, deshalb steht das finite Verb auf Position 2 (V2).",satzbau_011_zeit_v2_nach_der_arbeit_rufe_ich_meine_oma_aus_dem_bus_an,A2,Zeit-V2,,ready,,
sb_012,2026-02-14T09:11:00Z,,Welche Satzstellung ist korrekt? Vor / dem / Kurs / trinke / ich / im / Café / einen / Tee,Vor dem Kurs trinke ich im Café einen Tee.,Vor dem Kurs im Café einen Tee ich trinke.,ich Vor dem Kurs trinke im Café einen Tee.,Vor dem Kurs ich trinke im Café einen Tee.,0,Vor dem Kurs trinke ich im Café einen Tee.,"Zeit steht im Vorfeld, deshalb steht das finite Verb auf Position 2 (V2).",satzbau_012_zeit_v2_vor_dem_kurs_trinke_ich_im_caf_einen_tee,A2,Zeit-V2,,ready,,
sb_013,2026-02-14T09:12:00Z,,Welche Satzstellung ist korrekt? Nach / dem / Training / dusche / ich / schnell / in / der / Umkleide,Nach dem Training ich dusche schnell in der Umkleide.,Nach dem Training dusche ich schnell in der Umkleide.,ich Nach dem Training dusche schnell in der Umkleide.,Nach dem Training schnell in der Umkleide ich dusche.,1,Nach dem Training dusche ich schnell in der Umkleide.,"Zeit steht im Vorfeld, deshalb steht das finite Verb auf Position 2 (V2).",satzbau_013_zeit_v2_nach_dem_training_dusche_ich_schnell_in_der_umkleide,A2,Zeit-V2,,ready,,
sb_014,2026-02-14T09:13:00Z,,Welche Satzstellung ist korrekt? Vor / dem / Frühstück / lüfte / ich / kurz / das / Schlafzimmer,ich Vor dem Frühstück lüfte kurz das Schlafzimmer.,Vor dem Frühstück lüfte ich kurz das Schlafzimmer.,Vor dem Frühstück kurz das Schlafzimmer ich lüfte.,Vor dem Frühstück ich lüfte kurz das Schlafzimmer.,1,Vor dem Frühstück lüfte ich kurz das Schlafzimmer.,"Zeit steht im Vorfeld, deshalb steht das finite Verb auf Position 2 (V2).",satzbau_014_zeit_v2_vor_dem_fruehstueck_luefte_ich_kurz_das_schlafzimmer,A2,Zeit-V2,,ready,,
sb_015,2026-02-14T09:14:00Z,,Welche Satzstellung ist korrekt? Nach / dem / Frühstück / lese / ich / die / Nachrichten / auf / dem / Handy,ich Nach dem Frühstück lese die Nachrichten auf dem Handy.,Nach dem Frühstück ich lese die Nachrichten auf dem Handy.,Nach dem Frühstück lese ich die Nachrichten auf dem Handy.,Nach dem Frühstück die Nachrichten auf dem Handy ich lese.,2,Nach dem Frühstück lese ich die Nachrichten auf dem Handy.,"Zeit steht im Vorfeld, deshalb steht das finite Verb auf Position 2 (V2).",satzbau_015_zeit_v2_nach_dem_fruehstueck_lese_ich_die_nachrichten_auf_dem_handy,A2,Zeit-V2,,ready,,
sb_016,2026-02-14T09:15:00Z,,Welche Satzstellung ist korrekt? Nach / dem / Unterricht / wiederhole / ich / zu / Hause / die / neuen / Regeln,Nach dem Unterricht wiederhole ich zu Hause die neuen Regeln.,Nach dem Unterricht zu Hause die neuen Regeln ich wiederhole.,Nach dem Unterricht ich wiederhole zu Hause die neuen Regeln.,ich Nach dem Unterricht wiederhole zu Hause die neuen Regeln.,0,Nach dem Unterricht wiederhole ich zu Hause die neuen Regeln.,"Zeit steht im Vorfeld, deshalb steht das finite Verb auf Position 2 (V2).",satzbau_016_zeit_v2_nach_dem_unterricht_wiederhole_ich_zu_hause_die_neuen_regeln,A2,Zeit-V2,,ready,,
sb_017,2026-02-14T09:16:00Z,,Welche Satzstellung ist korrekt? Vor / dem / Meeting / drucke / ich / die / Unterlagen / im / Büro,ich Vor dem Meeting drucke die Unterlagen im Büro.,Vor dem Meeting ich drucke die Unterlagen im Büro.,Vor dem Meeting drucke ich die Unterlagen im Büro.,Vor dem Meeting die Unterlagen im Büro ich drucke.,2,Vor dem Meeting drucke ich die Unterlagen im Büro.,"Zeit steht im Vorfeld, deshalb steht das finite Verb auf Position 2 (V2).",satzbau_017_zeit_v2_vor_dem_meeting_drucke_ich_die_unterlagen_im_buero,A2,Zeit-V2,,ready,,
sb_018,2026-02-14T09:17:00Z,,Welche Satzstellung ist korrekt? Nach / dem / Meeting / notiere / ich / die / wichtigsten / Punkte,Nach dem Meeting notiere ich die wichtigsten Punkte.,Nach dem Meeting ich notiere die wichtigsten Punkte.,Nach dem Meeting die wichtigsten Punkte ich notiere.,ich Nach dem Meeting notiere die wichtigsten Punkte.,0,Nach dem Meeting notiere ich die wichtigsten Punkte.,"Zeit steht im Vorfeld, deshalb steht das finite Verb auf Position 2 (V2).",satzbau_018_zeit_v2_nach_dem_meeting_notiere_ich_die_wichtigsten_punkte,A2,Zeit-V2,,ready,,
