quiz_id,created_at,published_at,question,option_1,option_2,option_3,option_4,correct_option_id,correct_answer,explanation,key,level,category,message_id,status,audio_text,audio_file_id
adj_001,2026-02-14T07:30:00Z,,Im Gruppenchat wirkt der ___ Kommentar heute besonders sympathisch.,kleines,kleiner,kleinen,kleine,3,kleine,In „der ___ Kommentar“ steht das Adjektiv im Nominativ und bekommt hier die Endung „-e“: „kleine“.,a1_klein_kommentar_nom_def_1,A1,Social Media,,ready,,
adj_002,2026-02-14T07:31:00Z,,"Im Team sagt jeder, dass ein ___ Filter richtig stark ist.",praktischer,praktisches,praktischen,praktische,0,praktischer,In „ein ___ Filter“ steht das Adjektiv im Nominativ und bekommt hier die Endung „-er“: „praktischer“.,a1_praktisch_filter_nom_indef_2,A1,Social Media,,ready,,
adj_003,2026-02-14T07:32:00Z,,"Beim Lernen merken wir schnell, dass kein ___ Trick hilft.",starkes,starker,starken,starke,1,starker,In „kein ___ Trick“ steht das Adjektiv im Nominativ und bekommt hier die Endung „-er“: „starker“.,a1_stark_trick_nom_kein_3,A1,Alltag,,ready,,
adj_004,2026-02-14T07:33:00Z,,In der Story klingt der ___ Pitch direkt ueberzeugend.,direkter,direktes,direkte,direkten,2,direkte,In „der ___ Pitch“ steht das Adjektiv im Nominativ und bekommt hier die Endung „-e“: „direkte“.,a1_direkt_pitch_nom_def_4,A1,Arbeit,,ready,,
adj_005,2026-02-14T07:34:00Z,,Im Reel kommt ein ___ Titel bei allen gut an.,typisches,typischer,typischen,typische,1,typischer,In „ein ___ Titel“ steht das Adjektiv im Nominativ und bekommt hier die Endung „-er“: „typischer“.,a1_typisch_titel_nom_indef_5,A1,Medien,,ready,,
adj_006,2026-02-14T07:35:00Z,,Bei uns im Kurs faellt kein ___ Stream sofort positiv auf.,beliebten,beliebter,beliebtes,beliebte,1,beliebter,In „kein ___ Stream“ steht das Adjektiv im Nominativ und bekommt hier die Endung „-er“: „beliebter“.,a1_beliebt_stream_nom_kein_6,A1,Medien,,ready,,
adj_007,2026-02-14T07:36:00Z,,"Beim Treffen finden alle, dass der ___ Termin total passt.",kleiner,kleinen,kleine,kleines,2,kleine,In „der ___ Termin“ steht das Adjektiv im Nominativ und bekommt hier die Endung „-e“: „kleine“.,a1_klein_termin_nom_def_7,A1,Alltag,,ready,,
adj_008,2026-02-14T07:37:00Z,,Im Gruppenchat wirkt ein ___ Post heute besonders sympathisch.,praktisches,praktischer,praktischen,praktische,1,praktischer,In „ein ___ Post“ steht das Adjektiv im Nominativ und bekommt hier die Endung „-er“: „praktischer“.,a1_praktisch_post_nom_indef_8,A1,Social Media,,ready,,
adj_009,2026-02-14T07:38:00Z,,"Im Team sagt jeder, dass kein ___ Trend richtig stark ist.",starkes,starke,starken,starker,3,starker,In „kein ___ Trend“ steht das Adjektiv im Nominativ und bekommt hier die Endung „-er“: „starker“.,a1_stark_trend_nom_kein_9,A1,Social Media,,ready,,
adj_010,2026-02-14T07:39:00Z,,"Beim Lernen merken wir schnell, dass der ___ Plan hilft.",direktes,direkte,direkter,direkten,1,direkte,In „der ___ Plan“ steht das Adjektiv im Nominativ und bekommt hier die Endung „-e“: „direkte“.,a1_direkt_plan_nom_def_10,A1,Organisation,,ready,,
