quiz_id,created_at,published_at,question,option_1,option_2,option_3,option_4,correct_option_id,correct_answer,explanation,key,level,category,message_id,status,audio_text,audio_file_id
q_1770364980000_cy89vvdki,2026-02-06T08:03:00.000Z,,_____ ist dein Lehrer?,Wann,Wo,Wen,Wer,3,Wer,„Wer“ fragt nach einer Person (Nominativ).,ist_dein_lehrer,A1,W‑Fragen,,ready,,
q_1770365040000_1fyeau2gc,2026-02-06T08:04:00.000Z,,_____ ist dein Lieblingsessen?,Was,Woraus,Wessen,Wodurch,0,Was,„Was“ fragt nach einer Sache/Handlung.,ist_dein_lieblingsessen,A1,W‑Fragen,,ready,,
q_1770365100000_4q4ctv74n,2026-02-06T08:05:00.000Z,,_____ wohnst du?,Wo,Wobei,Wie,Wann,0,Wo,„Wo“ fragt nach dem Ort.,wohnst_du,A1,W‑Fragen,,ready,,
q_1770365160000_8570x6clf,2026-02-06T08:06:00.000Z,,_____ beginnt der Unterricht?,Wann,Wessen,Wozu,Woraus,0,Wann,„Wann“ fragt nach der Zeit.,beginnt_der_unterricht,A1,W‑Fragen,,ready,,
q_1770365220000_e3yvbmfxa,2026-02-06T08:07:00.000Z,,_____ lernst du Deutsch?,Woran,Warum,Wen,Woher,1,Warum,„Warum“ fragt nach dem Grund.,lernst_du_deutsch,A1,W‑Fragen,,ready,,
q_1770365280000_5o84lj82y,2026-02-06T08:08:00.000Z,,_____ heißt du?,Wie,Welche,Wofür,Womit,0,Wie,„Wie“ fragt nach der Art/Weise oder dem Zustand.,heisst_du,A1,W‑Fragen,,ready,,
q_1770365340000_bqwr10age,2026-02-06T08:09:00.000Z,,_____ kommst du?,Wer,Worauf,Woher,Was,2,Woher,„Woher“ fragt nach der Herkunft.,kommst_du,A1,W‑Fragen,,ready,,
q_1770365400000_8ye8zbuq4,2026-02-06T08:10:00.000Z,,_____ gehst du nach der Schule?,Wo,Wohin,Womit,Wozu,1,Wohin,„Wohin“ fragt nach dem Ziel/der Richtung.,gehst_du_nach_der_schule,A1,W‑Fragen,,ready,,
q_1770365460000_k0ejxpfd7,2026-02-06T08:11:00.000Z,,_____ Farbe magst du?,Wessen,Was,Wodurch,Welche,3,Welche,„Welche“ fragt nach einer Auswahl.,farbe_magst_du,A1,W‑Fragen,,ready,,
q_1770365520000_yxi8v7hky,2026-02-06T08:12:00.000Z,,_____ siehst du?,Wofür,Wen,Wem,Wodurch,1,Wen,„Wen“ fragt nach einer Person im Akkusativ.,siehst_du,A2,W‑Fragen,,ready,,
q_1770365580000_w22t1bk7u,2026-02-06T08:13:00.000Z,,_____ hilfst du?,Was,Worüber,Warum,Wem,3,Wem,„Wem“ fragt nach dem Dativ-Objekt (Empfänger).,hilfst_du,A2,W‑Fragen,,ready,,
q_1770365640000_8xovfr6pn,2026-02-06T08:14:00.000Z,,_____ Tasche ist das?,Wodurch,Wozu,Wessen,Woraus,2,Wessen,„Wessen“ fragt nach Besitz/Zugehörigkeit.,tasche_ist_das,A2,W‑Fragen,,ready,,
q_1770365700000_m6mbmrofu,2026-02-06T08:15:00.000Z,,_____ schreibst du?,Welche,Womit,Wofür,Wem,1,Womit,„Womit“ fragt nach dem Mittel/Instrument (mit + Dativ).,schreibst_du,A2,W‑Fragen,,ready,,
q_1770365760000_45zbq5vzo,2026-02-06T08:16:00.000Z,,_____ brauchst du das?,Wofür,Wo,Wodurch,Wem,0,Wofür,„Wofür“ fragt nach Zweck/Verwendung (für + Akkusativ).,brauchst_du_das,A2,W‑Fragen,,ready,,
q_1770365820000_dx3x0uwn2,2026-02-06T08:17:00.000Z,,_____ sprechen wir?,Wer,Wozu,Warum,Worüber,3,Worüber,„Worüber“ fragt nach dem Thema (über + Akkusativ).,sprechen_wir,A2,W‑Fragen,,ready,,
q_1770365880000_y6ql9yxes,2026-02-06T08:18:00.000Z,,_____ wartest du?,Wie,Woher,Wem,Worauf,3,Worauf,„Worauf“ fragt nach Bezug/Objekt (auf + Akkusativ).,wartest_du,A2,W‑Fragen,,ready,,
q_1770365940000_dytg3up2r,2026-02-06T08:19:00.000Z,,_____ denkst du?,Woran,Welche,Wann,Wozu,0,Woran,„Woran“ fragt nach Bezug (an + Dativ/Akkusativ je nach Kontext).,denkst_du,A2,W‑Fragen,,ready,,
q_1770366000000_6rvdlhb15,2026-02-06T08:20:00.000Z,,_____ dient das?,Worüber,Wozu,Wessen,Wobei,1,Wozu,„Wozu“ fragt nach Zweck/Ziel (zu).,dient_das,A2,W‑Fragen,,ready,,
q_1770366060000_uxoc36sau,2026-02-06T08:21:00.000Z,,_____ entsteht das Problem?,Wozu,Wodurch,Worauf,Warum,1,Wodurch,„Wodurch“ fragt nach Ursache/Mittel (durch + Akkusativ).,entsteht_das_problem,A2,W‑Fragen,,ready,,
q_1770366120000_0w1ca5kmc,2026-02-06T08:22:00.000Z,,_____ hilfst du mir?,Wobei,Womit,Wohin,Wo,0,Wobei,„Wobei“ fragt nach Begleitumstand (bei).,hilfst_du_mir,A2,W‑Fragen,,ready,,
q_1770366180000_3os7fg289,2026-02-06T08:23:00.000Z,,_____ besteht das Brot?,Welche,Wie,Woraus,Woran,2,Woraus,„Woraus“ fragt nach Material/Herkunft (aus + Dativ).,besteht_das_brot,A2,W‑Fragen,,ready,,
q_1770366240000_02hd117wj,2026-02-06T08:24:00.000Z,,_____ kommt heute zu Besuch?,Wer,Wohin,Wozu,Wen,0,Wer,„Wer“ fragt nach einer Person (Nominativ).,kommt_heute_zu_besuch,A1,W‑Fragen,,ready,,
q_1770366300000_pnezba0u9,2026-02-06T08:25:00.000Z,,_____ trinkst du morgens?,Was,Wohin,Woran,Wie,0,Was,„Was“ fragt nach einer Sache/Handlung.,trinkst_du_morgens,A1,W‑Fragen,,ready,,
q_1770366360000_lthsun6bx,2026-02-06T08:26:00.000Z,,_____ arbeitest du?,Wer,Was,Welche,Wo,3,Wo,„Wo“ fragt nach dem Ort.,arbeitest_du,A1,W‑Fragen,,ready,,
q_1770366420000_z9mye5csi,2026-02-06T08:27:00.000Z,,_____ endet der Kurs?,Welche,Worauf,Wie,Wann,3,Wann,„Wann“ fragt nach der Zeit.,endet_der_kurs,A1,W‑Fragen,,ready,,
q_1770366480000_9b27wsxny,2026-02-06T08:28:00.000Z,,_____ bist du heute zu spät?,Warum,Wie,Wann,Woran,0,Warum,„Warum“ fragt nach dem Grund.,bist_du_heute_zu_spaet,A1,W‑Fragen,,ready,,
q_1770366540000_fnyl0i4ia,2026-02-06T08:29:00.000Z,,_____ ist dein Name?,Wie,Wann,Wozu,Was,0,Wie,„Wie“ fragt nach der Art/Weise oder dem Zustand.,ist_dein_name,A1,W‑Fragen,,ready,,
q_1770366600000_o31mzddjh,2026-02-06T08:30:00.000Z,,_____ kommt dein Freund?,Wo,Wessen,Woher,Wie,2,Woher,„Woher“ fragt nach der Herkunft.,kommt_dein_freund,A1,W‑Fragen,,ready,,
q_1770366660000_npp1vjfas,2026-02-06T08:31:00.000Z,,_____ fährst du am Wochenende?,Wohin,Warum,Wo,Worauf,0,Wohin,„Wohin“ fragt nach dem Ziel/der Richtung.,faehrst_du_am_wochenende,A1,W‑Fragen,,ready,,
q_1770366720000_9ehpspi9a,2026-02-06T08:32:00.000Z,,_____ Sprache lernst du?,Welche,Womit,Wessen,Wofür,0,Welche,„Welche“ fragt nach einer Auswahl.,sprache_lernst_du,A1,W‑Fragen,,ready,,
q_1770366780000_xi0cswuaw,2026-02-06T08:33:00.000Z,,_____ rufst du an?,Woraus,Wodurch,Welche,Wen,3,Wen,„Wen“ fragt nach einer Person im Akkusativ.,rufst_du_an,A2,W‑Fragen,,ready,,
q_1770366840000_u2g8mzemn,2026-02-06T08:34:00.000Z,,_____ gibst du das Buch?,Wen,Wem,Wer,Wozu,1,Wem,„Wem“ fragt nach dem Dativ-Objekt (Empfänger).,gibst_du_das_buch,A2,W‑Fragen,,ready,,
q_1770366900000_ybqbkmxlg,2026-02-06T08:35:00.000Z,,_____ Handy liegt hier?,Worüber,Womit,Wessen,Woran,2,Wessen,„Wessen“ fragt nach Besitz/Zugehörigkeit.,handy_liegt_hier,A2,W‑Fragen,,ready,,
q_1770366960000_dqxiq0fq7,2026-02-06T08:36:00.000Z,,_____ fährst du zur Arbeit?,Welche,Wann,Womit,Warum,2,Womit,„Womit“ fragt nach dem Mittel/Instrument (mit + Dativ).,faehrst_du_zur_arbeit,A2,W‑Fragen,,ready,,
q_1770367020000_t2pafhg2y,2026-02-06T08:37:00.000Z,,_____ ist dieser Schlüssel?,Wofür,Woraus,Wann,Wodurch,0,Wofür,„Wofür“ fragt nach Zweck/Verwendung (für + Akkusativ).,ist_dieser_schluessel,A2,W‑Fragen,,ready,,
q_1770367080000_npa0ifl8r,2026-02-06T08:38:00.000Z,,_____ redet ihr?,Warum,Wie,Wessen,Worüber,3,Worüber,„Worüber“ fragt nach dem Thema (über + Akkusativ).,redet_ihr,A2,W‑Fragen,,ready,,
q_1770367140000_hzrd8mtt9,2026-02-06T08:39:00.000Z,,_____ freust du dich?,Wie,Worauf,Wofür,Womit,1,Worauf,„Worauf“ fragt nach Bezug/Objekt (auf + Akkusativ).,freust_du_dich,A2,W‑Fragen,,ready,,
q_1770367200000_1ejkd9oe2,2026-02-06T08:40:00.000Z,,_____ arbeitest du gerade im Projekt?,Woran,Wem,Wer,Warum,0,Woran,„Woran“ fragt nach Bezug (an + Dativ/Akkusativ je nach Kontext).,arbeitest_du_1n5c,A2,W‑Fragen,,ready,,
q_1770367260000_c8tbncj7g,2026-02-06T08:41:00.000Z,,_____ brauchst du diese Funktion?,Wobei,Woher,Womit,Wozu,3,Wozu,„Wozu“ fragt nach Zweck/Ziel (zu).,brauchst_du_das_enf2,A2,W‑Fragen,,ready,,
q_1770367320000_z1gfcnjit,2026-02-06T08:42:00.000Z,,_____ kommt die Verzögerung?,Worauf,Was,Wofür,Wodurch,3,Wodurch,„Wodurch“ fragt nach Ursache/Mittel (durch + Akkusativ).,kommt_die_verzoegerung,A2,W‑Fragen,,ready,,
q_1770367380000_l879faj7g,2026-02-06T08:43:00.000Z,,_____ brauchst du Hilfe?,Wessen,Wobei,Woran,Wofür,1,Wobei,„Wobei“ fragt nach Begleitumstand (bei).,brauchst_du_hilfe,A2,W‑Fragen,,ready,,
q_1770367440000_s3xs8vmkc,2026-02-06T08:44:00.000Z,,_____ ist der Tisch gemacht?,Wozu,Wohin,Worüber,Woraus,3,Woraus,„Woraus“ fragt nach Material/Herkunft (aus + Dativ).,ist_der_tisch_gemacht,A2,W‑Fragen,,ready,,
q_1770367500000_lgeoyi6g5,2026-02-06T08:45:00.000Z,,_____ wohnt hier?,Womit,Warum,Wo,Wer,3,Wer,„Wer“ fragt nach einer Person (Nominativ).,wohnt_hier,A1,W‑Fragen,,ready,,
q_1770367560000_0rv4lpgd7,2026-02-06T08:46:00.000Z,,_____ machst du am Wochenende?,Wozu,Woraus,Welche,Was,3,Was,„Was“ fragt nach einer Sache/Handlung.,machst_du_am_wochenende,A1,W‑Fragen,,ready,,
q_1770367620000_zl9p6l56a,2026-02-06T08:47:00.000Z,,_____ ist der Bahnhof?,Wo,Was,Wie,Womit,0,Wo,„Wo“ fragt nach dem Ort.,ist_der_bahnhof,A1,W‑Fragen,,ready,,
q_1770367680000_oe14zud10,2026-02-06T08:48:00.000Z,,_____ kommt der Zug an?,Woran,Wie,Wann,Wen,2,Wann,„Wann“ fragt nach der Zeit.,kommt_der_zug_an,A1,W‑Fragen,,ready,,
q_1770367740000_cwxup994v,2026-02-06T08:49:00.000Z,,_____ bist du müde?,Wessen,Worauf,Wo,Warum,3,Warum,„Warum“ fragt nach dem Grund.,bist_du_muede,A1,W‑Fragen,,ready,,
q_1770367800000_m41awirw8,2026-02-06T08:50:00.000Z,,_____ geht es dir?,Welche,Wie,Woher,Was,1,Wie,„Wie“ fragt nach der Art/Weise oder dem Zustand.,geht_es_dir,A1,W‑Fragen,,ready,,
q_1770367860000_9i7a560z5,2026-02-06T08:51:00.000Z,,_____ hast du das Buch?,Woher,Womit,Wem,Wo,0,Woher,„Woher“ fragt nach der Herkunft.,hast_du_das_buch,A1,W‑Fragen,,ready,,
