quiz_id,created_at,published_at,question,option_1,option_2,option_3,option_4,correct_option_id,correct_answer,explanation,key,level,category,message_id,status,audio_text,audio_file_id
md_001,2026-02-12T11:01:00Z,,A: Wir gehen heute Abend ins Open-Air-Kino. Kommst du mit? B: ___,Meine Kundennummer beginnt mit 47.,Ich habe meinen Ausweis gestern im Büro vergessen.,Die Rechnung schicke ich Ihnen morgen per E-Mail.,"Ja, gern! Um wie viel Uhr genau?",3,"Ja, gern! Um wie viel Uhr genau?","Hier passt eine positive Zusage mit Rückfrage, weil A eine Einladung ausspricht.",a2_freizeit_1_wir_gehen_heute_abend_ins_open_air_kino_kommst_du_mit,A2,Freizeit & Freunde,,ready,,
md_002,2026-02-12T11:02:00Z,,A: Am Samstag machen wir ein Picknick am See. Hast du Zeit? B: ___,Die Rechnung schicke ich Ihnen morgen per E-Mail.,Der Drucker funktioniert heute leider nicht.,Klingt super. Wo treffen wir uns?,Im Kühlschrank ist nur noch Wasser.,2,Klingt super. Wo treffen wir uns?,Im Einladungsdialog ist eine interessierte Zusage die natürlichste Reaktion.,a2_freizeit_2_am_samstag_machen_wir_ein_picknick_am_see_hast_du_zeit,A2,Freizeit & Freunde,,ready,,
md_003,2026-02-12T11:03:00Z,,A: Nach der Arbeit wollen wir tanzen gehen. Bist du dabei? B: ___,Meine Kundennummer beginnt mit 47.,Sehr gern! Soll ich etwas mitbringen?,Der Drucker funktioniert heute leider nicht.,Im Kühlschrank ist nur noch Wasser.,1,Sehr gern! Soll ich etwas mitbringen?,Die richtige Antwort zeigt Zustimmung und hält das Gespräch aktiv am Laufen.,a2_freizeit_3_nach_der_arbeit_wollen_wir_tanzen_gehen_bist_du_dabei,A2,Freizeit & Freunde,,ready,,
md_004,2026-02-12T11:04:00Z,,A: Morgen ist ein Straßenfest im Viertel. Kommst du auch? B: ___,Ich habe meinen Ausweis gestern im Büro vergessen.,"Geradeaus bis zur zweiten Ampel, dann links.",Die Rechnung schicke ich Ihnen morgen per E-Mail.,"Ja, gern! Um wie viel Uhr genau?",3,"Ja, gern! Um wie viel Uhr genau?","Hier passt eine positive Zusage mit Rückfrage, weil A eine Einladung ausspricht.",a2_freizeit_4_morgen_ist_ein_strassenfest_im_viertel_kommst_du_auch,A2,Freizeit & Freunde,,ready,,
md_005,2026-02-12T11:05:00Z,,A: Wir spielen heute Abend Brettspiele bei mir. Hast du Lust? B: ___,Klingt super. Wo treffen wir uns?,Ich habe meinen Ausweis gestern im Büro vergessen.,Im Kühlschrank ist nur noch Wasser.,Der Drucker funktioniert heute leider nicht.,0,Klingt super. Wo treffen wir uns?,Im Einladungsdialog ist eine interessierte Zusage die natürlichste Reaktion.,a2_freizeit_5_wir_spielen_heute_abend_brettspiele_bei_mir_hast_du_lust,A2,Freizeit & Freunde,,ready,,
md_006,2026-02-12T11:06:00Z,,A: Sonntag machen wir eine kleine Fahrradtour. Kommst du mit? B: ___,"Geradeaus bis zur zweiten Ampel, dann links.",Meine Kundennummer beginnt mit 47.,Im Kühlschrank ist nur noch Wasser.,Sehr gern! Soll ich etwas mitbringen?,3,Sehr gern! Soll ich etwas mitbringen?,Die richtige Antwort zeigt Zustimmung und hält das Gespräch aktiv am Laufen.,a2_freizeit_6_sonntag_machen_wir_eine_kleine_fahrradtour_kommst_du_mit,A2,Freizeit & Freunde,,ready,,
md_007,2026-02-12T11:07:00Z,,A: Im Park gibt es heute Live-Musik. Hast du Zeit? B: ___,Im Kühlschrank ist nur noch Wasser.,Ich habe meinen Ausweis gestern im Büro vergessen.,Die Rechnung schicke ich Ihnen morgen per E-Mail.,"Ja, gern! Um wie viel Uhr genau?",3,"Ja, gern! Um wie viel Uhr genau?","Hier passt eine positive Zusage mit Rückfrage, weil A eine Einladung ausspricht.",a2_freizeit_7_im_park_gibt_es_heute_live_musik_hast_du_zeit,A2,Freizeit & Freunde,,ready,,
md_008,2026-02-12T11:08:00Z,,A: Wir wollen später Bubble Tea trinken gehen. Kommst du? B: ___,Klingt super. Wo treffen wir uns?,Die Sitzung dauert ungefähr vierzig Minuten.,"Geradeaus bis zur zweiten Ampel, dann links.",Meine Kundennummer beginnt mit 47.,0,Klingt super. Wo treffen wir uns?,Im Einladungsdialog ist eine interessierte Zusage die natürlichste Reaktion.,a2_freizeit_8_wir_wollen_spaeter_bubble_tea_trinken_gehen_kommst_du,A2,Freizeit & Freunde,,ready,,
md_009,2026-02-12T11:09:00Z,,A: Morgen probieren wir das neue Café aus. Bist du dabei? B: ___,Sehr gern! Soll ich etwas mitbringen?,Meine Kundennummer beginnt mit 47.,Der Drucker funktioniert heute leider nicht.,Ich habe meinen Ausweis gestern im Büro vergessen.,0,Sehr gern! Soll ich etwas mitbringen?,Die richtige Antwort zeigt Zustimmung und hält das Gespräch aktiv am Laufen.,a2_freizeit_9_morgen_probieren_wir_das_neue_cafe_aus_bist_du_dabei,A2,Freizeit & Freunde,,ready,,
md_010,2026-02-12T11:10:00Z,,A: Am Freitagabend machen wir einen Spieleabend. Kommst du? B: ___,Der Drucker funktioniert heute leider nicht.,Im Kühlschrank ist nur noch Wasser.,"Ja, gern! Um wie viel Uhr genau?",Die Rechnung schicke ich Ihnen morgen per E-Mail.,2,"Ja, gern! Um wie viel Uhr genau?","Hier passt eine positive Zusage mit Rückfrage, weil A eine Einladung ausspricht.",a2_freizeit_10_am_freitagabend_machen_wir_einen_spieleabend_kommst_du,A2,Freizeit & Freunde,,ready,,
