quiz_id,created_at,published_at,question,option_1,option_2,option_3,option_4,correct_option_id,correct_answer,explanation,key,level,category,message_id,status,audio_text,audio_file_id
nq_047,2026-02-12T10:47:00Z,,Ich habe im Hotel ___ Frühstück gebucht.,keinen,keine,nicht,kein,3,kein,„kein“ negiert ein Nomen ohne Artikel im Nominativ/Akkusativ Neutrum.,a2_kein_2_ich_habe_im_hotel_fruehstueck_gebucht,A2,Negation mit kein,,ready,,
nq_052,2026-02-12T10:52:00Z,,Ich sehe am Himmel ___ Flugzeug.,kein,keinen,keine,nicht,0,kein,„kein“ negiert ein Nomen ohne Artikel im Nominativ/Akkusativ Neutrum.,a2_kein_7_ich_sehe_am_himmel_flugzeug,A2,Negation mit kein,,ready,,
nq_121,2026-02-12T12:01:00Z,,"Die Rückmeldung war freundlich, jedoch ___ konkret genug.",kein,nie,nichts,nicht,3,nicht,"Hier wird das Verb, Adjektiv oder Adverb negiert, deshalb passt „nicht“.",b1_nicht_16_die_rueckmeldung_war_freundlich_jedoch_konkret_genug,B1,Negation im Kontext,,ready,,
nq_166,2026-02-12T12:46:00Z,,Wir konnten mit ___ Argument die Jury überzeugen.,keiner,keinem,keinen,nicht,1,keinem,„keinem“ ist Dativ Singular für maskuline oder neutrale Nomen.,b1_keinem_6_wir_konnten_mit_argument_die_jury_ueberzeugen,B1,Negation mit kein,,ready,,
nq_003,2026-02-12T10:03:00Z,,Sie findet im Auto ___ Schlüssel.,nicht,keinen,kein,keine,1,keinen,„keinen“ ist die Akkusativ-Form für maskuline Nomen ohne Artikel.,a2_keinen_3_sie_findet_im_auto_schluessel,A2,Negation mit kein,,ready,,
nq_010,2026-02-12T10:10:00Z,,"Ich kaufe heute ___ Käse, nur Gemüse.",kein,nicht,keine,keinen,3,keinen,„keinen“ ist die Akkusativ-Form für maskuline Nomen ohne Artikel.,a2_keinen_10_ich_kaufe_heute_kaese_nur_gemuese,A2,Negation mit kein,,ready,,
nq_046,2026-02-12T10:46:00Z,,Im Büro gibt es heute ___ WLAN.,keine,kein,nicht,keinen,1,kein,„kein“ negiert ein Nomen ohne Artikel im Nominativ/Akkusativ Neutrum.,a2_kein_1_im_buero_gibt_es_heute_wlan,A2,Negation mit kein,,ready,,
nq_062,2026-02-12T11:02:00Z,,Ich kann morgen ___ kommen.,nicht,nie,kein,nichts,0,nicht,"Hier wird das Verb, Adjektiv oder Adverb negiert, deshalb passt „nicht“.",a2_nicht_2_ich_kann_morgen_kommen,A2,Negation mit nicht,,ready,,
nq_184,2026-02-12T13:04:00Z,,Die Abteilung hat ___ mit so vielen Parallelprojekten gearbeitet.,nie,nichts,nicht,kein,0,nie,„nie“ negiert die Häufigkeit vollständig (zu keinem Zeitpunkt).,b1_nie_4_die_abteilung_hat_mit_so_vielen_parallelprojekten_gearbe,B1,Negation mit nie,,ready,,
nq_108,2026-02-12T11:48:00Z,,"Wir haben den Entwurf überarbeitet, damit er ___ missverständlich wirkt.",nie,nicht,nichts,kein,1,nicht,"Hier wird das Verb, Adjektiv oder Adverb negiert, deshalb passt „nicht“.",b1_nicht_3_wir_haben_den_entwurf_ueberarbeitet_damit_er_missverstaen,B1,Negation im Kontext,,ready,,
nq_204,2026-02-12T13:24:00Z,,Im Team bemerkte ___ den Zahlendreher im Titel.,niemand,keiner,nichts,nicht,0,niemand,„niemand“ negiert Personen (Subjekt oder Objekt).,b1_niemand_4_im_team_bemerkte_den_zahlendreher_im_titel,B1,Negation mit niemand,,ready,,
nq_059,2026-02-12T10:59:00Z,,Sie kauft heute ___ Brot.,nicht,keinen,kein,keine,2,kein,„kein“ negiert ein Nomen ohne Artikel im Nominativ/Akkusativ Neutrum.,a2_kein_14_sie_kauft_heute_brot,A2,Negation mit kein,,ready,,
nq_203,2026-02-12T13:23:00Z,,Bei der Abstimmung hat ___ gegen den Kompromiss gestimmt.,niemand,nicht,keiner,nichts,0,niemand,„niemand“ negiert Personen (Subjekt oder Objekt).,b1_niemand_3_bei_der_abstimmung_hat_gegen_den_kompromiss_gestimmt,B1,Negation mit niemand,,ready,,
nq_154,2026-02-12T12:34:00Z,,Für den Vorfall gibt es ___ glaubwürdigen Zeugen.,kein,nicht,keinen,keine,2,keinen,„keinen“ ist die Akkusativ-Form für maskuline Nomen ohne Artikel.,b1_keinen_4_fuer_den_vorfall_gibt_es_glaubwuerdigen_zeugen,B1,Negation mit kein,,ready,,
nq_030,2026-02-12T10:30:00Z,,Du brauchst für den Salat ___ Gurke.,nicht,keinen,keine,kein,2,keine,„keine“ negiert hier ein Nomen ohne Artikel im Femininum oder Plural.,a2_keine_5_du_brauchst_fuer_den_salat_gurke,A2,Negation mit kein,,ready,,
nq_124,2026-02-12T12:04:00Z,,"Der Kurs ist beliebt, aber inhaltlich ___ aktuell genug.",nicht,nie,kein,nichts,0,nicht,"Hier wird das Verb, Adjektiv oder Adverb negiert, deshalb passt „nicht“.",b1_nicht_19_der_kurs_ist_beliebt_aber_inhaltlich_aktuell_genug,B1,Negation im Kontext,,ready,,
nq_053,2026-02-12T10:53:00Z,,Wir haben für das Fest ___ Budget.,nicht,keinen,kein,keine,2,kein,„kein“ negiert ein Nomen ohne Artikel im Nominativ/Akkusativ Neutrum.,a2_kein_8_wir_haben_fuer_das_fest_budget,A2,Negation mit kein,,ready,,
nq_143,2026-02-12T12:23:00Z,,Ohne Testdaten liefert das Modell ___ verlässliches Ergebnis.,nicht,keine,keinen,kein,3,kein,„kein“ negiert ein Nomen ohne Artikel im Nominativ/Akkusativ Neutrum.,b1_kein_3_ohne_testdaten_liefert_das_modell_verlaessliches_ergebnis,B1,Negation mit kein,,ready,,
nq_008,2026-02-12T10:08:00Z,,Sie trägt im Büro ___ Ausweis.,nicht,keinen,keine,kein,1,keinen,„keinen“ ist die Akkusativ-Form für maskuline Nomen ohne Artikel.,a2_keinen_8_sie_traegt_im_buero_ausweis,A2,Negation mit kein,,ready,,
nq_033,2026-02-12T10:33:00Z,,Sie trägt im Winter ___ Mütze.,keinen,kein,nicht,keine,3,keine,„keine“ negiert hier ein Nomen ohne Artikel im Femininum oder Plural.,a2_keine_8_sie_traegt_im_winter_muetze,A2,Negation mit kein,,ready,,
nq_057,2026-02-12T10:57:00Z,,Ich brauche für den Test ___ Wörterbuch.,keine,nicht,keinen,kein,3,kein,„kein“ negiert ein Nomen ohne Artikel im Nominativ/Akkusativ Neutrum.,a2_kein_12_ich_brauche_fuer_den_test_woerterbuch,A2,Negation mit kein,,ready,,
nq_147,2026-02-12T12:27:00Z,,Für den Workshop gab es ___ digitales Handout.,keinen,kein,nicht,keine,1,kein,„kein“ negiert ein Nomen ohne Artikel im Nominativ/Akkusativ Neutrum.,b1_kein_7_fuer_den_workshop_gab_es_digitales_handout,B1,Negation mit kein,,ready,,
nq_119,2026-02-12T11:59:00Z,,"Der Plan ist plausibel, solange die Annahmen ___ zu optimistisch sind.",nicht,kein,nie,nichts,0,nicht,"Hier wird das Verb, Adjektiv oder Adverb negiert, deshalb passt „nicht“.",b1_nicht_14_der_plan_ist_plausibel_solange_die_annahmen_zu_optimist,B1,Negation im Kontext,,ready,,
