quiz_id,created_at,published_at,question,option_1,option_2,option_3,option_4,correct_option_id,correct_answer,explanation,key,level,category,message_id,status,audio_text,audio_file_id
q_trenn_fix_0001,2026-02-06T08:00:00Z,,Ich __ um 6 Uhr __.,stehst ... auf,stehen ... auf,steht ... auf,stehe ... auf,3,stehe ... auf,Richtig: Ich stehe um 6 Uhr auf.,aufstehen_a1_01_u,A1,Trennbare Verben,,ready,Ich stehe um 6 Uhr auf.,
q_trenn_fix_0002,2026-02-06T08:01:00Z,,Du __ am Samstag um 9 Uhr __.,stehen ... auf,stehe ... auf,steht ... auf,stehst ... auf,3,stehst ... auf,Richtig: Du stehst am Samstag um 9 Uhr auf.,aufstehen_a1_02_u,A1,Trennbare Verben,,ready,Du stehst am Samstag um 9 Uhr auf.,
q_trenn_fix_0003,2026-02-06T08:02:00Z,,Anna __ jeden Tag um 7 Uhr __.,stehen ... auf,stehe ... auf,steht ... auf,stehst ... auf,2,steht ... auf,Richtig: Anna steht jeden Tag um 7 Uhr auf.,aufstehen_a1_03_u,A1,Trennbare Verben,,ready,Anna steht jeden Tag um 7 Uhr auf.,
q_trenn_fix_0004,2026-02-06T08:03:00Z,,Wir __ morgen sehr früh __.,stehst ... auf,stehen ... auf,stehe ... auf,steht ... auf,1,stehen ... auf,Richtig: Wir stehen morgen sehr früh auf.,aufstehen_a1_04_u,A1,Trennbare Verben,,ready,Wir stehen morgen sehr früh auf.,
q_trenn_fix_0005,2026-02-06T08:04:00Z,,"Ich __ morgen um 5 Uhr __, weil ich eine Prüfung habe.",stehst ... auf,steht ... auf,stehen ... auf,stehe ... auf,3,stehe ... auf,"Richtig: Ich stehe morgen um 5 Uhr auf, weil ich eine Prüfung habe.",aufstehen_a2_05_u,A2,Trennbare Verben,,ready,"Ich stehe morgen um 5 Uhr auf, weil ich eine Prüfung habe.",
q_trenn_fix_0006,2026-02-06T08:05:00Z,,Ich bin gestern um 6 Uhr __.,aufstanden,aufgestanden,geaufstehen,stehe,1,aufgestanden,Richtig: Ich bin gestern um 6 Uhr aufgestanden.,aufstehen_a2_06_u,A2,Trennbare Verben,,ready,Ich bin gestern um 6 Uhr aufgestanden.,
q_trenn_fix_0007,2026-02-06T08:06:00Z,,Ich __ um 6 Uhr im Hotel __.,wachst ... auf,wache ... auf,wachen ... auf,wacht ... auf,1,wache ... auf,Richtig: Ich wache um 6 Uhr im Hotel auf.,aufwachen_a1_01_u,A1,Trennbare Verben,,ready,Ich wache um 6 Uhr im Hotel auf.,
q_trenn_fix_0008,2026-02-06T08:07:00Z,,Du __ nachts oft __.,wachst ... auf,wachen ... auf,wache ... auf,wacht ... auf,0,wachst ... auf,Richtig: Du wachst nachts oft auf.,aufwachen_a1_02_u,A1,Trennbare Verben,,ready,Du wachst nachts oft auf.,
q_trenn_fix_0009,2026-02-06T08:08:00Z,,Tom __ heute sehr spät __.,wachen ... auf,wacht ... auf,wachst ... auf,wache ... auf,1,wacht ... auf,Richtig: Tom wacht heute sehr spät auf.,aufwachen_a1_03_u,A1,Trennbare Verben,,ready,Tom wacht heute sehr spät auf.,
q_trenn_fix_0010,2026-02-06T08:09:00Z,,Wir __ manchmal zu früh __.,wache ... auf,wachst ... auf,wachen ... auf,wacht ... auf,2,wachen ... auf,Richtig: Wir wachen manchmal zu früh auf.,aufwachen_a1_04_u,A1,Trennbare Verben,,ready,Wir wachen manchmal zu früh auf.,
q_trenn_fix_0011,2026-02-06T08:10:00Z,,"Du __ heute um 5 Uhr __, weil der Wecker klingelt.",wachst ... auf,wacht ... auf,wachen ... auf,wache ... auf,0,wachst ... auf,"Richtig: Du wachst heute um 5 Uhr auf, weil der Wecker klingelt.",aufwachen_a2_05_u,A2,Trennbare Verben,,ready,"Du wachst heute um 5 Uhr auf, weil der Wecker klingelt.",
q_trenn_fix_0012,2026-02-06T08:11:00Z,,Wir sind heute um 7 Uhr __.,aufwacht,geaufwachen,aufgewacht,wachen,2,aufgewacht,Richtig: Wir sind heute um 7 Uhr aufgewacht.,aufwachen_a2_06_u,A2,Trennbare Verben,,ready,Wir sind heute um 7 Uhr aufgewacht.,
q_trenn_fix_0013,2026-02-06T08:12:00Z,,Ich __ heute im Supermarkt __.,kaufe ... ein,kaufen ... ein,kauft ... ein,kaufst ... ein,0,kaufe ... ein,Richtig: Ich kaufe heute im Supermarkt ein.,einkaufen_a1_01_u,A1,Trennbare Verben,,ready,Ich kaufe heute im Supermarkt ein.,
q_trenn_fix_0014,2026-02-06T08:13:00Z,,Du __ am Freitagabend __.,kauft ... ein,kaufen ... ein,kaufe ... ein,kaufst ... ein,3,kaufst ... ein,Richtig: Du kaufst am Freitagabend ein.,einkaufen_a1_02_u,A1,Trennbare Verben,,ready,Du kaufst am Freitagabend ein.,
q_trenn_fix_0015,2026-02-06T08:14:00Z,,Meine Eltern __ jeden Samstag __.,kaufe ... ein,kaufst ... ein,kauft ... ein,kaufen ... ein,3,kaufen ... ein,Richtig: Meine Eltern kaufen jeden Samstag ein.,einkaufen_a1_03_u,A1,Trennbare Verben,,ready,Meine Eltern kaufen jeden Samstag ein.,
q_trenn_fix_0016,2026-02-06T08:15:00Z,,Wir __ nach der Arbeit __.,kaufst ... ein,kaufen ... ein,kaufe ... ein,kauft ... ein,1,kaufen ... ein,Richtig: Wir kaufen nach der Arbeit ein.,einkaufen_a1_04_u,A1,Trennbare Verben,,ready,Wir kaufen nach der Arbeit ein.,
q_trenn_fix_0017,2026-02-06T08:16:00Z,,"Ich __ heute früh __, weil der Kühlschrank leer ist.",kaufst ... ein,kaufen ... ein,kauft ... ein,kaufe ... ein,3,kaufe ... ein,"Richtig: Ich kaufe heute früh ein, weil der Kühlschrank leer ist.",einkaufen_a2_05_u,A2,Trennbare Verben,,ready,"Ich kaufe heute früh ein, weil der Kühlschrank leer ist.",
q_trenn_fix_0018,2026-02-06T08:17:00Z,,Ich habe gestern __.,geeinkaufen,eingekauft,einkauft,kaufe,1,eingekauft,Richtig: Ich habe gestern eingekauft.,einkaufen_a2_06_u,A2,Trennbare Verben,,ready,Ich habe gestern eingekauft.,
q_trenn_fix_0019,2026-02-06T08:18:00Z,,Ich __ dich um 18 Uhr __.,ruft ... an,rufen ... an,rufe ... an,rufst ... an,2,rufe ... an,Richtig: Ich rufe dich um 18 Uhr an.,anrufen_a1_01_u,A1,Trennbare Verben,,ready,Ich rufe dich um 18 Uhr an.,
q_trenn_fix_0020,2026-02-06T08:19:00Z,,Du __ mich später __.,ruft ... an,rufe ... an,rufen ... an,rufst ... an,3,rufst ... an,Richtig: Du rufst mich später an.,anrufen_a1_02_u,A1,Trennbare Verben,,ready,Du rufst mich später an.,
q_trenn_fix_0021,2026-02-06T08:20:00Z,,Tom __ seine Mutter jeden Sonntag __.,rufst ... an,ruft ... an,rufen ... an,rufe ... an,1,ruft ... an,Richtig: Tom ruft seine Mutter jeden Sonntag an.,anrufen_a1_03_u,A1,Trennbare Verben,,ready,Tom ruft seine Mutter jeden Sonntag an.,
q_trenn_fix_0022,2026-02-06T08:21:00Z,,Wir __ den Arzt morgen __.,rufe ... an,rufst ... an,ruft ... an,rufen ... an,3,rufen ... an,Richtig: Wir rufen den Arzt morgen an.,anrufen_a1_04_u,A1,Trennbare Verben,,ready,Wir rufen den Arzt morgen an.,
q_trenn_fix_0023,2026-02-06T08:22:00Z,,"Ich __ dich heute Abend __, weil ich eine Frage habe.",rufe ... an,ruft ... an,rufst ... an,rufen ... an,0,rufe ... an,"Richtig: Ich rufe dich heute Abend an, weil ich eine Frage habe.",anrufen_a2_05_u,A2,Trennbare Verben,,ready,"Ich rufe dich heute Abend an, weil ich eine Frage habe.",
