quiz_id,created_at,published_at,question,option_1,option_2,option_3,option_4,correct_option_id,correct_answer,explanation,key,level,category,message_id,status,audio_text,audio_file_id
as_001,2026-02-14T13:00:00Z,,Heute ist ___ Laptop im Technik-Chat ein wichtiges Thema.,den,das,der,die,2,der,„Laptop“ ist maskulin. Im Nominativ Singular passt hier „der“.,artikel_001_laptop_a2_technik,A2,A2-Technik,,ready,,
as_002,2026-02-14T13:01:00Z,,Im Alltag bleibt ___ Bahnhof bei der Reiseplanung sehr relevant.,die,dem,das,der,3,der,„Bahnhof“ ist maskulin. Im Nominativ Singular passt hier „der“.,artikel_002_bahnhof_a2_reisen,A2,A2-Reisen,,ready,,
as_003,2026-02-14T13:02:00Z,,Gerade ist ___ Vertrag im Büroteam klar im Fokus.,der,das,des,die,0,der,„Vertrag“ ist maskulin. Im Nominativ Singular passt hier „der“.,artikel_003_vertrag_a2_arbeit,A2,A2-Arbeit,,ready,,
as_004,2026-02-14T13:03:00Z,,Am Morgen ist ___ Wecker im Tagesablauf schon präsent.,den,das,die,der,3,der,„Wecker“ ist maskulin. Im Nominativ Singular passt hier „der“.,artikel_004_wecker_a2_alltag,A2,A2-Alltag,,ready,,
as_005,2026-02-14T13:04:00Z,,Diese Woche ist ___ Schlüssel im Tagesablauf besonders wichtig.,das,der,die,dem,1,der,„Schlüssel“ ist maskulin. Im Nominativ Singular passt hier „der“.,artikel_005_schluessel_a2_alltag,A2,A2-Alltag,,ready,,
as_006,2026-02-14T13:05:00Z,,Für unsere Gruppe ist ___ Kaffee im Tagesablauf zentral.,des,die,der,das,2,der,„Kaffee“ ist maskulin. Im Nominativ Singular passt hier „der“.,artikel_006_kaffee_a2_alltag,A2,A2-Alltag,,ready,,
as_007,2026-02-14T13:06:00Z,,Im heutigen Austausch ist ___ Rucksack bei der Reiseplanung ein Schwerpunkt.,der,den,die,das,0,der,„Rucksack“ ist maskulin. Im Nominativ Singular passt hier „der“.,artikel_007_rucksack_a2_reisen,A2,A2-Reisen,,ready,,
as_008,2026-02-14T13:07:00Z,,Heute ist ___ Bildschirm im Technik-Chat ein wichtiges Thema.,das,der,dem,die,1,der,„Bildschirm“ ist maskulin. Im Nominativ Singular passt hier „der“.,artikel_008_bildschirm_a2_technik,A2,A2-Technik,,ready,,
as_009,2026-02-14T13:08:00Z,,Im Alltag bleibt ___ Nachbar in der Nachbarschaft sehr relevant.,das,die,der,des,2,der,„Nachbar“ ist maskulin. Im Nominativ Singular passt hier „der“.,artikel_009_nachbar_a2_soziales,A2,A2-Soziales,,ready,,
as_010,2026-02-14T13:09:00Z,,Gerade ist ___ Chef im Büroteam klar im Fokus.,der,das,die,den,0,der,„Chef“ ist maskulin. Im Nominativ Singular passt hier „der“.,artikel_010_chef_a2_arbeit,A2,A2-Arbeit,,ready,,
as_011,2026-02-14T13:10:00Z,,Am Morgen ist ___ Kurs im Sprachkurs schon präsent.,die,dem,der,das,2,der,„Kurs“ ist maskulin. Im Nominativ Singular passt hier „der“.,artikel_011_kurs_a2_lernen,A2,A2-Lernen,,ready,,
as_012,2026-02-14T13:11:00Z,,Diese Woche ist ___ Termin bei der Wochenplanung besonders wichtig.,die,der,das,des,1,der,„Termin“ ist maskulin. Im Nominativ Singular passt hier „der“.,artikel_012_termin_a2_organisation,A2,A2-Organisation,,ready,,
as_013,2026-02-14T13:12:00Z,,Für unsere Gruppe ist ___ Garten zu Hause zentral.,das,die,der,den,2,der,„Garten“ ist maskulin. Im Nominativ Singular passt hier „der“.,artikel_013_garten_a2_wohnen,A2,A2-Wohnen,,ready,,
as_014,2026-02-14T13:13:00Z,,Im heutigen Austausch ist ___ Bus auf dem Arbeitsweg ein Schwerpunkt.,die,dem,der,das,2,der,„Bus“ ist maskulin. Im Nominativ Singular passt hier „der“.,artikel_014_bus_a2_verkehr,A2,A2-Verkehr,,ready,,
as_015,2026-02-14T13:14:00Z,,Heute ist ___ Bericht im Büroteam ein wichtiges Thema.,der,die,das,des,0,der,„Bericht“ ist maskulin. Im Nominativ Singular passt hier „der“.,artikel_015_bericht_a2_arbeit,A2,A2-Arbeit,,ready,,
as_016,2026-02-14T13:15:00Z,,Im Alltag bleibt ___ Film am Wochenende sehr relevant.,das,die,den,der,3,der,„Film“ ist maskulin. Im Nominativ Singular passt hier „der“.,artikel_016_film_a2_freizeit,A2,A2-Freizeit,,ready,,
