quiz_id,created_at,published_at,question,option_1,option_2,option_3,option_4,correct_option_id,correct_answer,explanation,key,level,category,message_id,status,audio_text,audio_file_id
tvt_001,2026-02-13T10:00:00Z,,Thema: Einkaufen -> Vor dem Kauf vergleiche ich im Regal zuerst ___.,die Preise,ein Ladegerät,einen Papagei,eine Fahrkarte,0,die Preise,"Hier passt „die Preise“, weil diese Antwort im Kontext zum Thema Einkaufen logisch ist. Die anderen Optionen gehören zu anderen Wortfeldern.",a2_einkaufen_die_preise_uA,A2,Einkaufen,,ready,,
tvt_002,2026-02-13T10:01:00Z,,Thema: Einkaufen -> Sprachpraxis: Vor dem Kauf vergleiche ich im Regal zuerst ___. Welche Antwort passt im Themenfeld am besten?,der Knöchel,die Preise,Portugal,meine Cousine,1,die Preise,"Hier passt „die Preise“, weil diese Antwort im Kontext zum Thema Einkaufen logisch ist. Die anderen Optionen gehören zu anderen Wortfeldern.",a2_einkaufen_die_preise_uB,A2,Einkaufen,,ready,,
tvt_003,2026-02-13T10:02:00Z,,Thema: Einkaufen -> Praxischeck: Vor dem Kauf vergleiche ich im Regal zuerst ___. Welche Ergänzung ergibt den sinnvollsten Satz?,einen Reisepass,eine Bewerbung,die Preise,frische Erdbeeren,2,die Preise,"Hier passt „die Preise“, weil diese Antwort im Kontext zum Thema Einkaufen logisch ist. Die anderen Optionen gehören zu anderen Wortfeldern.",a2_einkaufen_die_preise_uC,A2,Einkaufen,,ready,,
tvt_004,2026-02-13T10:03:00Z,,"Thema: Einkaufen -> Wenn ich etwas zurückgeben will, brauche ich ___.",Gitarre,ein Ladegerät,den Kassenbon,Französisch,2,den Kassenbon,"Hier passt „den Kassenbon“, weil diese Antwort im Kontext zum Thema Einkaufen logisch ist. Die anderen Optionen gehören zu anderen Wortfeldern.",a2_einkaufen_den_kassenbon_uA,A2,Einkaufen,,ready,,
tvt_005,2026-02-13T10:04:00Z,,"Thema: Einkaufen -> Anwendung: Wenn ich etwas zurückgeben will, brauche ich ___. Welche Ergänzung ist hier sinnvoll?",den Kassenbon,ein Feuerwerk,Kreuzung,einem Dialekt,0,den Kassenbon,"Hier passt „den Kassenbon“, weil diese Antwort im Kontext zum Thema Einkaufen logisch ist. Die anderen Optionen gehören zu anderen Wortfeldern.",a2_einkaufen_den_kassenbon_uB,A2,Einkaufen,,ready,,
tvt_006,2026-02-13T10:05:00Z,,"Thema: Einkaufen -> Vertiefung: Wenn ich etwas zurückgeben will, brauche ich ___. Welche Option passt in diesem Kontext eindeutig?",den Kassenbon,Vollkornbrot,eine Suppe,den Wald,0,den Kassenbon,"Hier passt „den Kassenbon“, weil diese Antwort im Kontext zum Thema Einkaufen logisch ist. Die anderen Optionen gehören zu anderen Wortfeldern.",a2_einkaufen_den_kassenbon_uC,A2,Einkaufen,,ready,,
tvt_007,2026-02-13T10:06:00Z,,Thema: Familie -> Die Tochter meiner Tante ist ___.,meine Cousine,ein Adventskranz,Baustelle,eine Suppe,0,meine Cousine,"Hier passt „meine Cousine“, weil diese Antwort im Kontext zum Thema Familie logisch ist. Die anderen Optionen gehören zu anderen Wortfeldern.",a2_familie_meine_cousine_uA,A2,Familie,,ready,,
tvt_008,2026-02-13T10:07:00Z,,Thema: Familie -> Praxiskontext: Die Tochter meiner Tante ist ___. Welche Option ergänzt den Satz korrekt?,große Erleichterung,meine Cousine,Kräutertee,eine Klassenarbeit,1,meine Cousine,"Hier passt „meine Cousine“, weil diese Antwort im Kontext zum Thema Familie logisch ist. Die anderen Optionen gehören zu anderen Wortfeldern.",a2_familie_meine_cousine_uB,A2,Familie,,ready,,
tvt_009,2026-02-13T10:08:00Z,,Thema: Familie -> Transferaufgabe: Die Tochter meiner Tante ist ___. Welche Ergänzung ist logisch korrekt?,einer Vokabelkarte,meine Cousine,die Miete,eine Untersuchung,1,meine Cousine,"Hier passt „meine Cousine“, weil diese Antwort im Kontext zum Thema Familie logisch ist. Die anderen Optionen gehören zu anderen Wortfeldern.",a2_familie_meine_cousine_uC,A2,Familie,,ready,,
tvt_010,2026-02-13T10:09:00Z,,Thema: Familie -> Der Mann meiner Schwester ist ___.,die Schulter,einem Dialekt,Passwort,mein Schwager,3,mein Schwager,"Hier passt „mein Schwager“, weil diese Antwort im Kontext zum Thema Familie logisch ist. Die anderen Optionen gehören zu anderen Wortfeldern.",a2_familie_mein_schwager_uA,A2,Familie,,ready,,
